Wikidata ID,nLab,nLab link
Q2642974,Alexander Schmidt,https://ncatlab.org/nlab/show/Alexander+Schmidt
Q1458824,Alexander Varchenko,https://ncatlab.org/nlab/show/Alexander+Varchenko
Q1399445,Alexander Vilenkin,https://ncatlab.org/nlab/show/Alexander+Vilenkin
Q12271434,Alexander Voronov,https://ncatlab.org/nlab/show/Alexander+Voronov
Q1333246,Alexander Zamolodchikov,https://ncatlab.org/nlab/show/Alexander+Zamolodchikov
Q4718108,Alexander's trick,https://ncatlab.org/nlab/show/Alexander%27s+trick
Q4720810,Alexandre Borovik,https://ncatlab.org/nlab/show/Alexandre+Borovik
Q925405,Alexandre Kirillov,https://ncatlab.org/nlab/show/Alexandre+Kirillov
Q28401130,Alexandrov space,https://ncatlab.org/nlab/show/Alexandrov+space
Q22328386,Alexandru Dimca,https://ncatlab.org/nlab/show/Alexandru+Dimca
Q2277954,Alexandru Proca,https://ncatlab.org/nlab/show/Alexandru+Proca
Q1183421,Alexei Abrikosov,https://ncatlab.org/nlab/show/Alexei+Abrikosov
Q131754976,Alexei Davydov,https://ncatlab.org/nlab/show/Alexei+Davydov
Q2643958,Alexei Kitaev,https://ncatlab.org/nlab/show/Alexei+Kitaev
Q739944,Alexei Kovalev,https://ncatlab.org/nlab/show/Alexei+Kovalev
Q735366,Alexei Morozov,https://ncatlab.org/nlab/show/Alexei+Morozov
Q82993,Alexey Petrov,https://ncatlab.org/nlab/show/Alexey+Petrov
Q936470,Alfred Ewing,https://ncatlab.org/nlab/show/Alfred+Ewing
Q4722697,Alfred Frölicher,https://ncatlab.org/nlab/show/Alfred+Fr%C3%B6licher
Q4722749,Alfred Gray,https://ncatlab.org/nlab/show/Alfred+Gray
Q85471,Alfred Schild,https://ncatlab.org/nlab/show/Alfred+Schild
Q207534,Alfred Tarski,https://ncatlab.org/nlab/show/Alfred+Tarski
Q4723614,Alfred Whitehead,https://ncatlab.org/nlab/show/Alfred+Whitehead
Q4723663,Alfred Young,https://ncatlab.org/nlab/show/Alfred+Young
Q465715,Alfréd Rényi,https://ncatlab.org/nlab/show/Alfr%C3%A9d+R%C3%A9nyi
