Child Lean,Child Label,Child Wikidata ID,Child Mathlib Link,Parent Lean,Parent Label,Parent Wikidata ID,Parent Mathlib Link,Depth,Path
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,SemigroupWithZero,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/GroupWithZero/Defs.html#SemigroupWithZero,4,DivisionRing > Ring > Semiring > NonUnitalSemiring > SemigroupWithZero
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,SubNegMonoid,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#SubNegMonoid,4,DivisionRing > Ring > AddCommGroup > AddGroup > SubNegMonoid
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,AddCommMagma,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddCommMagma,5,DivisionRing > Ring > AddCommGroup > AddCommMonoid > AddCommSemigroup > AddCommMagma
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,AddSemigroup,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddSemigroup,5,DivisionRing > Ring > AddCommGroup > AddCommMonoid > AddMonoid > AddSemigroup
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,AddZeroClass,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddZeroClass,5,DivisionRing > Ring > AddCommGroup > AddCommMonoid > AddMonoid > AddZeroClass
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,Distrib,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Ring/Defs.html#Distrib,5,DivisionRing > Ring > Semiring > NonUnitalSemiring > NonUnitalNonAssocSemiring > Distrib
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,MulZeroClass,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/GroupWithZero/Defs.html#MulZeroClass,5,DivisionRing > Ring > Semiring > NonUnitalSemiring > NonUnitalNonAssocSemiring > MulZeroClass
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,Neg,,,,5,DivisionRing > Ring > AddCommGroup > AddGroup > SubNegMonoid > Neg
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,Sub,,,,5,DivisionRing > Ring > AddCommGroup > AddGroup > SubNegMonoid > Sub
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,Add,,,,6,DivisionRing > Ring > Semiring > NonUnitalSemiring > NonUnitalNonAssocSemiring > Distrib > Add
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,AddZero,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddZero,6,DivisionRing > Ring > AddCommGroup > AddCommMonoid > AddMonoid > AddZeroClass > AddZero
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,Zero,,,,6,DivisionRing > Ring > Semiring > NonUnitalSemiring > NonUnitalNonAssocSemiring > MulZeroClass > Zero
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,CommRing,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Ring/Defs.html#CommRing,1,EuclideanDomain > CommRing
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,Nontrivial,,,https://leanprover-community.github.io/mathlib4_docs/Logic/Nontrivial/Defs.html#Nontrivial,1,EuclideanDomain > Nontrivial
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,CommMonoid,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#CommMonoid,2,EuclideanDomain > CommRing > CommMonoid
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,Ring,ring,Q161172,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Ring/Defs.html#Ring,2,EuclideanDomain > CommRing > Ring
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,AddCommGroup,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddCommGroup,3,EuclideanDomain > CommRing > Ring > AddCommGroup
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,AddGroupWithOne,,,https://leanprover-community.github.io/mathlib4_docs/Data/Int/Cast/Defs.html#AddGroupWithOne,3,EuclideanDomain > CommRing > Ring > AddGroupWithOne
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,CommSemigroup,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#CommSemigroup,3,EuclideanDomain > CommRing > CommMonoid > CommSemigroup
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,Monoid,monoid,Q208237,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Monoid,3,EuclideanDomain > CommRing > CommMonoid > Monoid
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,Semiring,semiring,Q1333055,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Ring/Defs.html#Semiring,3,EuclideanDomain > CommRing > Ring > Semiring
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,AddCommMonoid,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddCommMonoid,4,EuclideanDomain > CommRing > Ring > AddCommGroup > AddCommMonoid
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,AddGroup,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddGroup,4,EuclideanDomain > CommRing > Ring > AddCommGroup > AddGroup
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,AddMonoidWithOne,,,https://leanprover-community.github.io/mathlib4_docs/Data/Nat/Cast/Defs.html#AddMonoidWithOne,4,EuclideanDomain > CommRing > Ring > AddGroupWithOne > AddMonoidWithOne
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,CommMagma,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#CommMagma,4,EuclideanDomain > CommRing > CommMonoid > CommSemigroup > CommMagma
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,IntCast,,,,4,EuclideanDomain > CommRing > Ring > AddGroupWithOne > IntCast
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,MonoidWithZero,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/GroupWithZero/Defs.html#MonoidWithZero,4,EuclideanDomain > CommRing > Ring > Semiring > MonoidWithZero
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,MulOneClass,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#MulOneClass,4,EuclideanDomain > CommRing > CommMonoid > Monoid > MulOneClass
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,NonAssocSemiring,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Ring/Defs.html#NonAssocSemiring,4,EuclideanDomain > CommRing > Ring > Semiring > NonAssocSemiring
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,NonUnitalSemiring,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Ring/Defs.html#NonUnitalSemiring,4,EuclideanDomain > CommRing > Ring > Semiring > NonUnitalSemiring
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,Semigroup,semigroup,Q207348,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Semigroup,4,EuclideanDomain > CommRing > CommMonoid > Monoid > Semigroup
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,AddCommMonoidWithOne,,,https://leanprover-community.github.io/mathlib4_docs/Data/Nat/Cast/Defs.html#AddCommMonoidWithOne,5,EuclideanDomain > CommRing > Ring > Semiring > NonAssocSemiring > AddCommMonoidWithOne
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,AddCommSemigroup,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddCommSemigroup,5,EuclideanDomain > CommRing > Ring > AddCommGroup > AddCommMonoid > AddCommSemigroup
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,AddMonoid,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddMonoid,5,EuclideanDomain > CommRing > Ring > AddCommGroup > AddCommMonoid > AddMonoid
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,Mul,,,,5,EuclideanDomain > CommRing > CommMonoid > Monoid > Semigroup > Mul
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,MulOne,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#MulOne,5,EuclideanDomain > CommRing > CommMonoid > Monoid > MulOneClass > MulOne
