Wikidata ID,Mathlib UG
[Q752487](https://www.wikidata.org/wiki/Q752487),[Dual space](https://leanprover-community.github.io/mathlib_docs/analysis/normed_space/dual.html#normed_space.dual.normed_space)
[Q1357684](https://www.wikidata.org/wiki/Q1357684),[Riesz representation theorem](https://leanprover-community.github.io/mathlib_docs/analysis/inner_product_space/dual.html#inner_product_space.to_dual)
[Q29864097](https://www.wikidata.org/wiki/Q29864097),[Example](https://leanprover-community.github.io/mathlib_docs/analysis/fourier/add_circle.html#fourier_basis)
[Q9993851](https://www.wikidata.org/wiki/Q9993851),[Lax-Milgram theorem](https://leanprover-community.github.io/mathlib_docs/analysis/inner_product_space/lax_milgram.html#is_coercive.continuous_linear_equiv_of_bilin)
[Q17004731](https://www.wikidata.org/wiki/Q17004731),[Chain rule (probability)](https://leanprover-community.github.io/mathlib_docs/analysis/calculus/fderiv/comp.html#fderiv.comp)
[Q189136](https://www.wikidata.org/wiki/Q189136),[Mean value theorem](https://leanprover-community.github.io/mathlib_docs/analysis/calculus/mean_value.html#exists_ratio_deriv_eq_ratio_slope)
[Q783507](https://www.wikidata.org/wiki/Q783507),[Differentiable functions](https://leanprover-community.github.io/mathlib_docs/analysis/calculus/fderiv/basic.html#differentiable)
[Q845060](https://www.wikidata.org/wiki/Q845060),[Local extrema](https://leanprover-community.github.io/mathlib_docs/analysis/calculus/local_extr.html#is_local_min.fderiv_eq_zero)
[Q1058314](https://www.wikidata.org/wiki/Q1058314),[Diffeomorphisms](https://leanprover-community.github.io/mathlib_docs/geometry/manifold/charted_space.html#structomorph)
[Q931001](https://www.wikidata.org/wiki/Q931001),[Inverse function theorem](https://leanprover-community.github.io/mathlib_docs/analysis/calculus/inverse.html#has_strict_deriv_at.to_local_inverse)
[Q848375](https://www.wikidata.org/wiki/Q848375),[Implicit function theorem](https://leanprover-community.github.io/mathlib_docs/analysis/calculus/implicit.html#implicit_function_data.implicit_function)
