Wikidata ID,nLab
[Q451757](https://www.wikidata.org/wiki/Q451757),https://ncatlab.org/nlab/show/Alexander%2BGivental
[Q2642205](https://www.wikidata.org/wiki/Q2642205),https://ncatlab.org/nlab/show/Alexander%2BGoncharov
[Q980208](https://www.wikidata.org/wiki/Q980208),https://ncatlab.org/nlab/show/Alexander%2BGorsky
[Q4703912](https://www.wikidata.org/wiki/Q4703912),https://ncatlab.org/nlab/show/Alexander%2BGreen
[Q77141](https://www.wikidata.org/wiki/Q77141),https://ncatlab.org/nlab/show/Alexander%2BGrothendieck
[Q4221363](https://www.wikidata.org/wiki/Q4221363),https://ncatlab.org/nlab/show/Alexander%2BKirillov
[Q1900592](https://www.wikidata.org/wiki/Q1900592),https://ncatlab.org/nlab/show/Alexander%2BKuznetsov
[Q4718839](https://www.wikidata.org/wiki/Q4718839),https://ncatlab.org/nlab/show/Alexander%2BL.%2BFetter
[Q2642658](https://www.wikidata.org/wiki/Q2642658),https://ncatlab.org/nlab/show/Alexander%2BMerkurjev
[Q64975](https://www.wikidata.org/wiki/Q64975),https://ncatlab.org/nlab/show/Alexander%2BOstrowski
[Q16734607](https://www.wikidata.org/wiki/Q16734607),https://ncatlab.org/nlab/show/Alexander%2BPolishchuk
[Q1727208](https://www.wikidata.org/wiki/Q1727208),https://ncatlab.org/nlab/show/Alexander%2BPolyakov
[Q1634206](https://www.wikidata.org/wiki/Q1634206),https://ncatlab.org/nlab/show/Alexander%2Bpolynomial
[Q620780](https://www.wikidata.org/wiki/Q620780),https://ncatlab.org/nlab/show/Alexander%2BPopov
[Q4374246](https://www.wikidata.org/wiki/Q4374246),https://ncatlab.org/nlab/show/Alexander%2BPostnikov
[Q3739981](https://www.wikidata.org/wiki/Q3739981),https://ncatlab.org/nlab/show/Alexander%2BRosenberg
[Q2642974](https://www.wikidata.org/wiki/Q2642974),https://ncatlab.org/nlab/show/Alexander%2BSchmidt
[Q1458824](https://www.wikidata.org/wiki/Q1458824),https://ncatlab.org/nlab/show/Alexander%2BVarchenko
[Q1399445](https://www.wikidata.org/wiki/Q1399445),https://ncatlab.org/nlab/show/Alexander%2BVilenkin
[Q12271434](https://www.wikidata.org/wiki/Q12271434),https://ncatlab.org/nlab/show/Alexander%2BVoronov
[Q1333246](https://www.wikidata.org/wiki/Q1333246),https://ncatlab.org/nlab/show/Alexander%2BZamolodchikov
[Q4718108](https://www.wikidata.org/wiki/Q4718108),https://ncatlab.org/nlab/show/Alexander%27s%2Btrick
[Q925405](https://www.wikidata.org/wiki/Q925405),https://ncatlab.org/nlab/show/Alexandre%2BKirillov
[Q28401130](https://www.wikidata.org/wiki/Q28401130),https://ncatlab.org/nlab/show/Alexandrov%2Bspace
[Q22328386](https://www.wikidata.org/wiki/Q22328386),https://ncatlab.org/nlab/show/Alexandru%2BDimca
[Q2277954](https://www.wikidata.org/wiki/Q2277954),https://ncatlab.org/nlab/show/Alexandru%2BProca
[Q1183421](https://www.wikidata.org/wiki/Q1183421),https://ncatlab.org/nlab/show/Alexei%2BAbrikosov
[Q2643958](https://www.wikidata.org/wiki/Q2643958),https://ncatlab.org/nlab/show/Alexei%2BKitaev
[Q739944](https://www.wikidata.org/wiki/Q739944),https://ncatlab.org/nlab/show/Alexei%2BKovalev
[Q735366](https://www.wikidata.org/wiki/Q735366),https://ncatlab.org/nlab/show/Alexei%2BMorozov
[Q82993](https://www.wikidata.org/wiki/Q82993),https://ncatlab.org/nlab/show/Alexey%2BPetrov
[Q936470](https://www.wikidata.org/wiki/Q936470),https://ncatlab.org/nlab/show/Alfred%2BEwing
[Q4722697](https://www.wikidata.org/wiki/Q4722697),https://ncatlab.org/nlab/show/Alfred%2BFr%C3%B6licher
[Q4722749](https://www.wikidata.org/wiki/Q4722749),https://ncatlab.org/nlab/show/Alfred%2BGray
[Q85471](https://www.wikidata.org/wiki/Q85471),https://ncatlab.org/nlab/show/Alfred%2BSchild
[Q207534](https://www.wikidata.org/wiki/Q207534),https://ncatlab.org/nlab/show/Alfred%2BTarski
[Q4723614](https://www.wikidata.org/wiki/Q4723614),https://ncatlab.org/nlab/show/Alfred%2BWhitehead
[Q534624](https://www.wikidata.org/wiki/Q534624),https://ncatlab.org/nlab/show/Alfred%2BYoung
[Q465715](https://www.wikidata.org/wiki/Q465715),https://ncatlab.org/nlab/show/Alfr%C3%A9d%2BR%C3%A9nyi
[Q3968](https://www.wikidata.org/wiki/Q3968),https://ncatlab.org/nlab/show/algebra
[Q1166643](https://www.wikidata.org/wiki/Q1166643),https://ncatlab.org/nlab/show/algebra%2Bextension
[Q1386213](https://www.wikidata.org/wiki/Q1386213),https://ncatlab.org/nlab/show/algebra%2Bfor%2Ban%2Bendofunctor
[Q1630568](https://www.wikidata.org/wiki/Q1630568),https://ncatlab.org/nlab/show/algebra%2Bover%2Ba%2Bmonad
[Q16827071](https://www.wikidata.org/wiki/Q16827071),https://ncatlab.org/nlab/show/algebra%2Bover%2Ban%2Boperad
[Q4723988](https://www.wikidata.org/wiki/Q4723988),https://ncatlab.org/nlab/show/algebraic%2Banalysis
[Q3502010](https://www.wikidata.org/wiki/Q3502010),https://ncatlab.org/nlab/show/algebraic%2Bcategory
[Q4723991](https://www.wikidata.org/wiki/Q4723991),https://ncatlab.org/nlab/show/algebraic%2Bcobordism
[Q266237](https://www.wikidata.org/wiki/Q266237),https://ncatlab.org/nlab/show/algebraic%2Bcurve
[Q4723996](https://www.wikidata.org/wiki/Q4723996),https://ncatlab.org/nlab/show/algebraic%2Bcycle
[Q4791123](https://www.wikidata.org/wiki/Q4791123),https://ncatlab.org/nlab/show/algebraic%2Bdynamics
[Q162608](https://www.wikidata.org/wiki/Q162608),https://ncatlab.org/nlab/show/algebraic%2Belement
[Q50698](https://www.wikidata.org/wiki/Q50698),https://ncatlab.org/nlab/show/algebraic%2Bequation
[Q550791](https://www.wikidata.org/wiki/Q550791),https://ncatlab.org/nlab/show/algebraic%2Bextension
[Q746863](https://www.wikidata.org/wiki/Q746863),https://ncatlab.org/nlab/show/algebraic%2Bfunction
[Q288764](https://www.wikidata.org/wiki/Q288764),https://ncatlab.org/nlab/show/algebraic%2Bfundamental%2Bgroup
[Q180969](https://www.wikidata.org/wiki/Q180969),https://ncatlab.org/nlab/show/algebraic%2Bgeometry
[Q1695400](https://www.wikidata.org/wiki/Q1695400),https://ncatlab.org/nlab/show/algebraic%2Bgroup
[Q646245](https://www.wikidata.org/wiki/Q646245),https://ncatlab.org/nlab/show/algebraic%2Binteger
[Q2553675](https://www.wikidata.org/wiki/Q2553675),https://ncatlab.org/nlab/show/algebraic%2BK-theory
[Q5155306](https://www.wikidata.org/wiki/Q5155306),https://ncatlab.org/nlab/show/algebraic%2Blattice
[Q168817](https://www.wikidata.org/wiki/Q168817),https://ncatlab.org/nlab/show/algebraic%2Bnumber
[Q613048](https://www.wikidata.org/wiki/Q613048),https://ncatlab.org/nlab/show/algebraic%2Bnumber%2Btheory
[Q4724016](https://www.wikidata.org/wiki/Q4724016),https://ncatlab.org/nlab/show/algebraic%2Bspace
[Q7595945](https://www.wikidata.org/wiki/Q7595945),https://ncatlab.org/nlab/show/algebraic%2Bstack
[Q205464](https://www.wikidata.org/wiki/Q205464),https://ncatlab.org/nlab/show/algebraic%2Bstructure
[Q1434805](https://www.wikidata.org/wiki/Q1434805),https://ncatlab.org/nlab/show/algebraic%2Bsurface
[Q4724020](https://www.wikidata.org/wiki/Q4724020),https://ncatlab.org/nlab/show/algebraic%2Btheory
[Q212803](https://www.wikidata.org/wiki/Q212803),https://ncatlab.org/nlab/show/algebraic%2Btopology
[Q648995](https://www.wikidata.org/wiki/Q648995),https://ncatlab.org/nlab/show/algebraic%2Bvariety
[Q906907](https://www.wikidata.org/wiki/Q906907),https://ncatlab.org/nlab/show/algebraic%2Bvector%2Bbundle
[Q1047547](https://www.wikidata.org/wiki/Q1047547),https://ncatlab.org/nlab/show/algebraically%2Bclosed%2Bfield
[Q4724234](https://www.wikidata.org/wiki/Q4724234),https://ncatlab.org/nlab/show/Algimantas%2BAdolfas%2BJucys
[Q8366](https://www.wikidata.org/wiki/Q8366),https://ncatlab.org/nlab/show/algorithm
[Q17521164](https://www.wikidata.org/wiki/Q17521164),https://ncatlab.org/nlab/show/Ali%2BChamseddine
[Q24572773](https://www.wikidata.org/wiki/Q24572773),https://ncatlab.org/nlab/show/Alice%2BRogers
[Q58010066](https://www.wikidata.org/wiki/Q58010066),https://ncatlab.org/nlab/show/Alissa%2BCrans
[Q4731385](https://www.wikidata.org/wiki/Q4731385),https://ncatlab.org/nlab/show/allegory
[Q2837899](https://www.wikidata.org/wiki/Q2837899),https://ncatlab.org/nlab/show/Allen%2BHatcher
[Q4731739](https://www.wikidata.org/wiki/Q4731739),https://ncatlab.org/nlab/show/Allen%2BKnutson
[Q1434353](https://www.wikidata.org/wiki/Q1434353),https://ncatlab.org/nlab/show/almost%2Bsurely
[Q92741](https://www.wikidata.org/wiki/Q92741),https://ncatlab.org/nlab/show/Alonzo%2BChurch
[Q103517](https://www.wikidata.org/wiki/Q103517),https://ncatlab.org/nlab/show/alpha%2Bparticle
[Q438814](https://www.wikidata.org/wiki/Q438814),https://ncatlab.org/nlab/show/alternating%2Bgroup
[Q2165111](https://www.wikidata.org/wiki/Q2165111),https://ncatlab.org/nlab/show/alternative%2Balgebra
[Q20798882](https://www.wikidata.org/wiki/Q20798882),https://ncatlab.org/nlab/show/Amalendu%2BKrishna
[Q4739384](https://www.wikidata.org/wiki/Q4739384),https://ncatlab.org/nlab/show/amalgamation%2Bproperty
[Q131332](https://www.wikidata.org/wiki/Q131332),https://ncatlab.org/nlab/show/Amanda%2BPeet
[Q4742444](https://www.wikidata.org/wiki/Q4742444),https://ncatlab.org/nlab/show/Amer%2BIqbal
[Q4746863](https://www.wikidata.org/wiki/Q4746863),https://ncatlab.org/nlab/show/Amit%2BPatel
[Q4746882](https://www.wikidata.org/wiki/Q4746882),https://ncatlab.org/nlab/show/Amit%2BSharma
[Q4746921](https://www.wikidata.org/wiki/Q4746921),https://ncatlab.org/nlab/show/Amitai%2BRegev
[Q60764404](https://www.wikidata.org/wiki/Q60764404),https://ncatlab.org/nlab/show/Amitsur%2Bcomplex
[Q4747369](https://www.wikidata.org/wiki/Q4747369),https://ncatlab.org/nlab/show/amnestic%2Bfunctor
[Q14492076](https://www.wikidata.org/wiki/Q14492076),https://ncatlab.org/nlab/show/Amnon%2BYekutieli
[Q4748472](https://www.wikidata.org/wiki/Q4748472),https://ncatlab.org/nlab/show/ample%2Bsheaf
[Q159190](https://www.wikidata.org/wiki/Q159190),https://ncatlab.org/nlab/show/amplitude
[Q14928243](https://www.wikidata.org/wiki/Q14928243),https://ncatlab.org/nlab/show/amplituhedron
[Q6563512](https://www.wikidata.org/wiki/Q6563512),https://ncatlab.org/nlab/show/Ana%2BCannas%2Bda%2BSilva
[Q483270](https://www.wikidata.org/wiki/Q483270),https://ncatlab.org/nlab/show/anabelian%2Bgeometry
[Q185816](https://www.wikidata.org/wiki/Q185816),https://ncatlab.org/nlab/show/analogy
