Wikidata ID,Context
[Q25304059](https://www.wikidata.org/wiki/Q25304059),[2-functor](https://mathgloss.github.io/MathGloss/context/2-functor)
[Q1945014](https://www.wikidata.org/wiki/Q1945014),[monoidal category](https://mathgloss.github.io/MathGloss/context/monoidal_category)
[Q192439](https://www.wikidata.org/wiki/Q192439),[domain of definition](https://mathgloss.github.io/MathGloss/context/domain_of_definition)
[Q4049983](https://www.wikidata.org/wiki/Q4049983),[cardinality](https://mathgloss.github.io/MathGloss/context/cardinality)
[Q3427423](https://www.wikidata.org/wiki/Q3427423),[induction](https://mathgloss.github.io/MathGloss/context/induction)
[Q1579914](https://www.wikidata.org/wiki/Q1579914),[maybe monad](https://mathgloss.github.io/MathGloss/context/maybe_monad)
[Q1086961](https://www.wikidata.org/wiki/Q1086961),[bilinear map](https://mathgloss.github.io/MathGloss/context/bilinear_map)
[Q192439](https://www.wikidata.org/wiki/Q192439),[domain](https://mathgloss.github.io/MathGloss/context/domain)
[Q1347208](https://www.wikidata.org/wiki/Q1347208),[epic](https://mathgloss.github.io/MathGloss/context/epic)
[Q2844249](https://www.wikidata.org/wiki/Q2844249),[kernel pair](https://mathgloss.github.io/MathGloss/context/kernel_pair)
[Q14775269](https://www.wikidata.org/wiki/Q14775269),[homotopy category](https://mathgloss.github.io/MathGloss/context/homotopy_category)
[Q357858](https://www.wikidata.org/wiki/Q357858),[left adjoint](https://mathgloss.github.io/MathGloss/context/left_adjoint)
[Q288465](https://www.wikidata.org/wiki/Q288465),[G-set](https://mathgloss.github.io/MathGloss/context/G-set)
[Q320245](https://www.wikidata.org/wiki/Q320245),[right derived functors](https://mathgloss.github.io/MathGloss/context/right_derived_functors)
[Q1322614](https://www.wikidata.org/wiki/Q1322614),[cocontinuous](https://mathgloss.github.io/MathGloss/context/cocontinuous)
[Q864475](https://www.wikidata.org/wiki/Q864475),[endofunctor](https://mathgloss.github.io/MathGloss/context/endofunctor)
[Q1397439](https://www.wikidata.org/wiki/Q1397439),[pullback](https://mathgloss.github.io/MathGloss/context/pullback)
[Q378637](https://www.wikidata.org/wiki/Q378637),[discrete dynamical system](https://mathgloss.github.io/MathGloss/context/discrete_dynamical_system)
[Q1491747](https://www.wikidata.org/wiki/Q1491747),[Galois connection between syntax and semantics](https://mathgloss.github.io/MathGloss/context/Galois_connection_between_syntax_and_semantics)
[Q199006](https://www.wikidata.org/wiki/Q199006),[codomain](https://mathgloss.github.io/MathGloss/context/codomain)
[Q529752](https://www.wikidata.org/wiki/Q529752),[terminal object](https://mathgloss.github.io/MathGloss/context/terminal_object)
[Q2020004](https://www.wikidata.org/wiki/Q2020004),[Galois extension](https://mathgloss.github.io/MathGloss/context/Galois_extension)
[Q180907](https://www.wikidata.org/wiki/Q180907),[bijections](https://mathgloss.github.io/MathGloss/context/bijections)
[Q17103860](https://www.wikidata.org/wiki/Q17103860),[symmetric monoidal category](https://mathgloss.github.io/MathGloss/context/symmetric_monoidal_category)
[Q5349490](https://www.wikidata.org/wiki/Q5349490),[Eilenberg-MacLane space](https://mathgloss.github.io/MathGloss/context/Eilenberg-MacLane_space)
[Q7451799](https://www.wikidata.org/wiki/Q7451799),[separator](https://mathgloss.github.io/MathGloss/context/separator)
[Q1307987](https://www.wikidata.org/wiki/Q1307987),[reduced suspension](https://mathgloss.github.io/MathGloss/context/reduced_suspension)
[Q357858](https://www.wikidata.org/wiki/Q357858),[Markov kernels](https://mathgloss.github.io/MathGloss/context/Markov_kernels)
[Q1467124](https://www.wikidata.org/wiki/Q1467124),[geometric realization](https://mathgloss.github.io/MathGloss/context/geometric_realization)
[Q217608](https://www.wikidata.org/wiki/Q217608),[fixed points](https://mathgloss.github.io/MathGloss/context/fixed_points)
[Q595298](https://www.wikidata.org/wiki/Q595298),[cover](https://mathgloss.github.io/MathGloss/context/cover)
[Q2295009](https://www.wikidata.org/wiki/Q2295009),[smash product](https://mathgloss.github.io/MathGloss/context/smash_product)
[Q1128678](https://www.wikidata.org/wiki/Q1128678),[group completion](https://mathgloss.github.io/MathGloss/context/group_completion)
[Q4915506](https://www.wikidata.org/wiki/Q4915506),[biproducts](https://mathgloss.github.io/MathGloss/context/biproducts)
[Q1128678](https://www.wikidata.org/wiki/Q1128678),[Grothendieck group](https://mathgloss.github.io/MathGloss/context/Grothendieck_group)
[Q1193137](https://www.wikidata.org/wiki/Q1193137),[regular](https://mathgloss.github.io/MathGloss/context/regular)
[Q431078](https://www.wikidata.org/wiki/Q431078),[free group](https://mathgloss.github.io/MathGloss/context/free_group)
