Wikidata ID,Wikidata Label,BCT Name,BCT Link,Chicago Name,Chicago Link,Clowder Name,Clowder Link,Context Name,Context Link,Mathlib Name,Mathlib Link,nLab Name,nLab Link,PlanetMath Name,PlanetMath Link,Wikipedia Link
Q104841721,Jacobson-Morozov theorem,,,,,,,,,,,Jacobson-Morozov theorem,https://ncatlab.org/nlab/show/Jacobson-Morozov+theorem,,,https://en.wikipedia.org/wiki/Jacobson%E2%80%93Morozov%20theorem
Q104841945,Scattered space,,,,,,,,,,,scattered space,https://ncatlab.org/nlab/show/scattered+space,scattered space,http://planetmath.org/scatteredspace,https://en.wikipedia.org/wiki/Scattered%20space
Q104842536,Complete topological vector space,,,,,,,,,,,complete topological vector space,https://ncatlab.org/nlab/show/complete+topological+vector+space,,,https://en.wikipedia.org/wiki/Complete%20topological%20vector%20space
Q1048447,Multiplicative function,,,,,,,,,,,,,non-multiplicative function,http://planetmath.org/nonmultiplicativefunction,https://en.wikipedia.org/wiki/Multiplicative%20function
Q104848772,Quadric (algebraic geometry),,,,,,,,,,,quadric,https://ncatlab.org/nlab/show/quadric,,,https://en.wikipedia.org/wiki/Quadric%20%28algebraic%20geometry%29
Q1048589,Density functional theory,,,,,,,,,,,density functional theory,https://ncatlab.org/nlab/show/density+functional+theory,,,https://en.wikipedia.org/wiki/Density%20functional%20theory
Q104864167,Slice category,slice category,https://arxiv.org/pdf/1612.09375#page=67,,,,,slice category,https://emilyriehl.github.io/files/context.pdf#page=26,,,,,,,https://en.wikipedia.org/wiki/Overcategory
Q1048763,Polyakov action,,,,,,,,,,,Polyakov action,https://ncatlab.org/nlab/show/Polyakov+action,,,https://en.wikipedia.org/wiki/Polyakov%20action
Q1048768,Nambu–Goto action,,,,,,,,,,,Nambu-Goto action,https://ncatlab.org/nlab/show/Nambu-Goto+action,,,https://en.wikipedia.org/wiki/Nambu%E2%80%93Goto%20action
Q104881170,Corestriction,,,,,,,,,,,corestriction,https://ncatlab.org/nlab/show/corestriction,,,https://en.wikipedia.org/wiki/Corestriction
Q1048911,Elliptical Curve Cryptography,,,,,,,,,,,,,elliptic curve discrete logarithm problem,http://planetmath.org/ellipticcurvediscretelogarithmproblem,https://en.wikipedia.org/wiki/Elliptic-curve%20cryptography
Q1048949,Cofibration,,,,,,,,,,,cofibration,https://ncatlab.org/nlab/show/cofibration,cofibration,http://planetmath.org/cofibration,https://en.wikipedia.org/wiki/Cofibration
Q1049064,Symplectomorphism,,,,,,,,,,,symplectomorphism group,https://ncatlab.org/nlab/show/symplectomorphism+group,,,https://en.wikipedia.org/wiki/Symplectomorphism
Q1049280,Normal family,,,,,,,,,,,,,normal family,http://planetmath.org/normalfamily,https://en.wikipedia.org/wiki/Normal%20family
