Wikidata ID,Wikidata Label,BCT Name,BCT Link,Chicago Name,Chicago Link,Clowder Name,Clowder Link,Context Name,Context Link,Mathlib Name,Mathlib Link,nLab Name,nLab Link,PlanetMath Name,PlanetMath Link
Q5446408,Fibrant object,,,,,,,,,,,fibrant object,https://ncatlab.org/nlab/show/fibrant+object,,
Q5446431,fibered category,,,,,,,,,,,Grothendieck fibration,https://ncatlab.org/nlab/show/Grothendieck+fibration,,
Q5447297,Fierz identity,,,,,,,,,,,Fierz identity,https://ncatlab.org/nlab/show/Fierz+identity,,
Q544886,Rationalisation (mathematics),,,,,,,,,,,rationalization,https://ncatlab.org/nlab/show/rationalization,,
Q5449247,filtered category,,,,,,,filtered category,https://emilyriehl.github.io/files/context.pdf#page=132,,,filtered colimit,https://ncatlab.org/nlab/show/filtered+colimit,,
Q5449308,FinSet,,,,,,,,,,,FinSet,https://ncatlab.org/nlab/show/FinSet,,
Q5450412,finitely generated object,,,,,,,,,,,finitely generated object,https://ncatlab.org/nlab/show/finitely+generated+object,,
Q54505,Quantum field theory,,,,,,,,,,,relativistic quantum field theory,https://ncatlab.org/nlab/show/relativistic+quantum+field+theory,,
Q5454146,First-class constraint,,,,,,,,,,,first class constraint,https://ncatlab.org/nlab/show/first+class+constraint,,
Q5454858,Fisher information metric,,,,,,,,,,,Fisher metric,https://ncatlab.org/nlab/show/Fisher+metric,,
Q54555759,order of a group element,order of element of group,https://arxiv.org/pdf/1612.09375#page=93,order of a group element,https://mathgloss.github.io/MathGloss/chicago/order_of_a_group_element,,,,,,,,,order of a profinite group,http://planetmath.org/orderofaprofinitegroup
Q5456325,fixed-point space,,,,,,,,,,,point space,https://ncatlab.org/nlab/show/point+space,,
Q5457855,Flat topology,,,,,,,,,,,fpqc topology,https://ncatlab.org/nlab/show/fpqc+topology,,
Q5457856,flat vector bundle,,,,,,,,,,,flat vector bundle,https://ncatlab.org/nlab/show/flat+vector+bundle,,
Q546145,compactification,,,,,,,,,,,conformal compactification,https://ncatlab.org/nlab/show/conformal+compactification,compactification,http://planetmath.org/compactification
Q54640195,factor,,,,,,,,,,,factor,https://ncatlab.org/nlab/show/factor,,
Q5469967,formal scheme,,,,,,,,,,,formal spectrum,https://ncatlab.org/nlab/show/formal+spectrum,,
Q5469970,formal group,,,,,,,,,,,hyperalgebra,https://ncatlab.org/nlab/show/hyperalgebra,,
Q5469989,formally étale morphism,,,,,,,,,,,formally étale morphism,https://ncatlab.org/nlab/show/formally+%C3%A9tale+morphism,étale morphism,http://planetmath.org/etalemorphism
Q5469991,formally smooth map,,,,,,,,,,,smooth map,https://ncatlab.org/nlab/show/smooth+map,,
Q5472501,Fort space,,,,,,,,,,,Arens-Fort space,https://ncatlab.org/nlab/show/Arens-Fort+space,,
Q5477047,Fox derivative,,,,,,,,,,,Fox derivative,https://ncatlab.org/nlab/show/Fox+derivative,,
Q5477902,frame bundle,,,,,,,,,,,frame bundle,https://ncatlab.org/nlab/show/frame+bundle,,
Q547823,planar graph,,,,,,,,,,,plane graph,https://ncatlab.org/nlab/show/plane+graph,planar graph,http://planetmath.org/planargraph
Q5478310,Lie bracket of vector fields,,,,,,,,,Lie bracket of vector field,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Geometry/Manifold/VectorField/LieBracket.html#VectorField.mlieBracket,Lie bracket of vector fields,https://ncatlab.org/nlab/show/Lie+bracket+of+vector+fields,,
Q548675,Levi-Civita connection,,,,,,,,,,,Levi-Civita connection,https://ncatlab.org/nlab/show/Levi-Civita+connection,Levi-Civita connection,http://planetmath.org/levicivitaconnection
Q54938846,Endorelation,,,homogeneous relation,https://mathgloss.github.io/MathGloss/chicago/homogeneous_relation,,,,,,,,,,
Q54940062,trichotomous relation,,,,,,,,,,,trichotomous relation,https://ncatlab.org/nlab/show/trichotomous+relation,,
Q5499350,Fredholm module,,,,,,,,,,,Fredholm module,https://ncatlab.org/nlab/show/Fredholm+module,Fredholm module,http://planetmath.org/fredholmmodule
Q549959,Calabi–Yau manifold,,,,,,,,,,,Calabi-Yau variety,https://ncatlab.org/nlab/show/Calabi-Yau+variety,,
Q5499906,free Lie algebra,,,,,,,,,,,free Lie algebra,https://ncatlab.org/nlab/show/free+Lie+algebra,free Lie algebra,http://planetmath.org/freeliealgebra
Q5500180,Free ring,free ring,https://arxiv.org/pdf/1612.09375#page=95,,,,,free algebra,https://emilyriehl.github.io/files/context.pdf#page=182,,,,,free associative algebra,http://planetmath.org/freeassociativealgebra
Q5500202,free category,,,,,,,free category,https://emilyriehl.github.io/files/context.pdf#page=140,,,path category,https://ncatlab.org/nlab/show/path+category,,
Q5500266,free monoid,,,,,,,free monoid,https://emilyriehl.github.io/files/context.pdf#page=139,,,free commutative monoid,https://ncatlab.org/nlab/show/free+commutative+monoid,free semigroup,http://planetmath.org/freesemigroup
Q5500272,Free object,free functor,https://arxiv.org/pdf/1612.09375#page=27,,,,,,,,,free functor,https://ncatlab.org/nlab/show/free+functor,,
Q5503261,Freudenthal magic square,,,,,,,,,,,Freudenthal magic square,https://ncatlab.org/nlab/show/Freudenthal+magic+square,,
Q5503271,Freund–Rubin compactification,,,,,,,,,,,Freund-Rubin compactification,https://ncatlab.org/nlab/show/Freund-Rubin+compactification,,
Q5505096,Frobenioid,,,,,,,,,,,Frobenioid,https://ncatlab.org/nlab/show/Frobenioid,,
Q5505100,Frobenius algebra,,,,,,,,,,,quasi-Frobenius algebra,https://ncatlab.org/nlab/show/quasi-Frobenius+algebra,,
Q5505101,Frobenius manifold,,,,,,,,,,,Frobenius manifold,https://ncatlab.org/nlab/show/Frobenius+manifold,,
Q550593,Klein four-group,,,,,,,,,,,Klein four-group,https://ncatlab.org/nlab/show/Klein+four-group,Klein 4-group,http://planetmath.org/klein4group
Q5506747,Frölicher space,,,,,,,,,,,Frölicher space,https://ncatlab.org/nlab/show/Fr%C3%B6licher+space,,
Q5506748,Frölicher spectral sequence,,,,,,,,,,,Frölicher spectral sequence,https://ncatlab.org/nlab/show/Fr%C3%B6licher+spectral+sequence,,
Q5506750,Frölicher–Nijenhuis bracket,,,,,,,,,,,Frölicher–Nijenhuis bracket,https://ncatlab.org/nlab/show/Fr%C3%B6licher%E2%80%93Nijenhuis+bracket,,
Q5507585,Fukaya category,,,,,,,,,,,Fukaya category,https://ncatlab.org/nlab/show/Fukaya+category,,
Q550791,algebraic extension,,,algebraic extension,https://mathgloss.github.io/MathGloss/chicago/algebraic_extension,,,,,algebraic extension,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/Algebraic/Defs.html#Algebra.IsAlgebraic,algebraic extension,https://ncatlab.org/nlab/show/algebraic+extension,algebraic extension,http://planetmath.org/algebraicextension
Q5508767,function application,,,,,,,,,,,function application,https://ncatlab.org/nlab/show/function+application,,
Q5508773,Function field of an algebraic variety,,,,,,,,,,,function field of a variety,https://ncatlab.org/nlab/show/function+field+of+a+variety,,
Q5508778,Function type,,,,,,,,,,,function type,https://ncatlab.org/nlab/show/function+type,,
Q5508975,fundamental theorem of linear algebra,,,,,,,,,,,fundamental theorem of linear algebra,https://ncatlab.org/nlab/show/fundamental+theorem+of+linear+algebra,,
Q5508976,fundamental vector field,,,,,,,,,,,fundamental vector field,https://ncatlab.org/nlab/show/fundamental+vector+field,,
Q550929,Einstein tensor,,,,,,,,,,,Einstein tensor,https://ncatlab.org/nlab/show/Einstein+tensor,,
Q5511135,fuzzy sphere,,,,,,,,,,,fuzzy sphere,https://ncatlab.org/nlab/show/fuzzy+sphere,,
Q5511959,G-structure,,,,,,,,,,,G-structure,https://ncatlab.org/nlab/show/G-structure,reduction of structure group,http://planetmath.org/reductionofstructuregroup
Q5512692,G2 manifold,,,,,,,,,,,G₂ manifold,https://ncatlab.org/nlab/show/G%E2%82%82+manifold,,
Q5515505,Gabriel's theorem,,,,,,,,,,,Gabriel's theorem,https://ncatlab.org/nlab/show/Gabriel%27s+theorem,,
Q5516119,Gabriel–Popescu theorem,,,,,,,,,,,Gabriel-Popescu theorem,https://ncatlab.org/nlab/show/Gabriel-Popescu+theorem,,
Q5527637,Gauged supergravity,,,,,,,,,,,gauged supergravity,https://ncatlab.org/nlab/show/gauged+supergravity,,
Q5527639,Gaugino condensation,,,,,,,,,,,gaugino condensation,https://ncatlab.org/nlab/show/gaugino+condensation,,
Q5527838,Gaussian free field,,,,,,,,,,,free field,https://ncatlab.org/nlab/show/free+field,,
Q5527840,Gaussian measure,,,,,,,,,,,Gaussian measure,https://ncatlab.org/nlab/show/Gaussian+measure,,
Q5527854,Gauss–Manin connection,,,,,,,,,,,Gauss-Manin connection,https://ncatlab.org/nlab/show/Gauss-Manin+connection,,
Q552787,Maurer–Cartan form,,,,,,,,,,,Maurer-Cartan equation,https://ncatlab.org/nlab/show/Maurer-Cartan+equation,,
Q5530428,Gelfand–Naimark–Segal construction,,,,,,,,,,,Gelfand-Naimark-Segal construction,https://ncatlab.org/nlab/show/Gelfand-Naimark-Segal+construction,Gelfand-Naimark-Segal construction,http://planetmath.org/gelfandnaimarksegalconstruction
Q5532440,Generalized Kac–Moody algebra,,,,,,,,,,,Borcherds algebra,https://ncatlab.org/nlab/show/Borcherds+algebra,,
Q5532467,Generalized complex structure,,,,,,,,,,,generalized complex geometry,https://ncatlab.org/nlab/show/generalized+complex+geometry,,
Q5532500,Generalized permutation matrix,,,,,,,,,,,monomial matrix,https://ncatlab.org/nlab/show/monomial+matrix,monomial matrix,http://planetmath.org/monomialmatrix
Q5532504,generalized quantifier,,,,,,,,,,,generalized quantifier,https://ncatlab.org/nlab/show/generalized+quantifier,generalized quantifier,http://planetmath.org/generalizedquantifier
Q5532674,Specific interval,,,,,,,,,,,generic interval,https://ncatlab.org/nlab/show/generic+interval,,
Q5533833,Genus of a multiplicative sequence,,,,,,,,,,,Witten genus,https://ncatlab.org/nlab/show/Witten+genus,,
Q5533834,genus of a quadratic form,,,,,,,,,polar form of a quadratic,https://leanprover-community.github.io/mathlib4_docs/Mathlib/LinearAlgebra/QuadraticForm/Basic.html#QuadraticMap.polar,,,,
Q5533980,geodesic convexity,,,,,,,,,,,geodesic convexity,https://ncatlab.org/nlab/show/geodesic+convexity,,
Q5535474,Geometric analysis,,,,,,,,,,,geometric analysis,https://ncatlab.org/nlab/show/geometric+analysis,,
Q5535486,Geometry (group theory),,,,,,,,,,,geometry,https://ncatlab.org/nlab/show/geometry,geometry,http://planetmath.org/geometry
Q5535524,Geometry of interaction,,,,,,,,,,,Geometry of Interaction,https://ncatlab.org/nlab/show/Geometry+of+Interaction,,
Q5548813,Heyting arithmetic,,,,,,,,,,,Heyting arithmetic,https://ncatlab.org/nlab/show/Heyting+arithmetic,,
Q5553164,Gerstenhaber algebra,,,,,,,,,,,Gerstenhaber algebra,https://ncatlab.org/nlab/show/Gerstenhaber+algebra,,
Q55595015,Hawkes process,,,,,,,,,,,Hawkes process,https://ncatlab.org/nlab/show/Hawkes+process,,
Q55611299,Extensive category,,,,,,,,,,,extensive category,https://ncatlab.org/nlab/show/extensive+category,,
Q55612221,Gabriel–Rosenberg reconstruction theorem,,,,,,,,,,,Gabriel-Rosenberg theorem,https://ncatlab.org/nlab/show/Gabriel-Rosenberg+theorem,,
Q55613030,group functor,,,,,,,,,,,group functor,https://ncatlab.org/nlab/show/group+functor,,
Q55616791,level structure,,,,,,,,,,,level structure,https://ncatlab.org/nlab/show/level+structure,,
Q55627850,Order polynomial,,,,,,,,,,,order polynomial,https://ncatlab.org/nlab/show/order+polynomial,,
Q55631208,Rational thermodynamics,,,,,,,,,,,rational thermodynamics,https://ncatlab.org/nlab/show/rational+thermodynamics,,
Q55631370,Refinement (category theory),,,,,,,,,,,refinement,https://ncatlab.org/nlab/show/refinement,,
Q55631722,Ringed topos,,,,,,,,,,,ringed topos,https://ncatlab.org/nlab/show/ringed+topos,,
Q55643022,Extended supersymmetry,,,,,,,,,,,extended supersymmetry,https://ncatlab.org/nlab/show/extended+supersymmetry,,
Q55648664,subrepresentation,,,subrepresentation,https://mathgloss.github.io/MathGloss/chicago/subrepresentation,,,,,,,subrepresentation,https://ncatlab.org/nlab/show/subrepresentation,,
Q5567394,Gleason's theorem,,,,,,,,,,,Gleason's theorem,https://ncatlab.org/nlab/show/Gleason%27s+theorem,,
Q5569420,Specialization (pre)order,,,,,,,,,,,specialization order,https://ncatlab.org/nlab/show/specialization+order,,
Q5570834,global element,,,,,,,,,,,global element,https://ncatlab.org/nlab/show/global+element,,
Q5570942,globally hyperbolic manifold,,,,,,,,,,,globally hyperbolic Lorentzian manifold,https://ncatlab.org/nlab/show/globally+hyperbolic+Lorentzian+manifold,,
Q557624,rule of product,,,rule of product,https://mathgloss.github.io/MathGloss/chicago/rule_of_product,,,,,,,,,zero rule of product,http://planetmath.org/zeroruleofproduct
Q557688,Oberwolfach,,,,,,,,,,,Oberwolfach,https://ncatlab.org/nlab/show/Oberwolfach,,
Q558339,dihedral group,,,,,,,,,,,dihedral group,https://ncatlab.org/nlab/show/dihedral+group,dihedral group properties,http://planetmath.org/dihedralgroupproperties
Q5586177,Gorenstein ring,,,,,,,,,,,Gorenstein ring,https://ncatlab.org/nlab/show/Gorenstein+ring,,
Q5587463,Goss zeta function,,,,,,,,,,,Goss zeta function,https://ncatlab.org/nlab/show/Goss+zeta+function,,
Q5591875,graded manifold,,,,,,,,,,,graded manifold,https://ncatlab.org/nlab/show/graded+manifold,,
Q5597999,gravitational instanton,,,,,,,,,,,ALE space,https://ncatlab.org/nlab/show/ALE+space,,
Q5605123,Green–Schwarz mechanism,,,,,,,,,,,Green-Schwarz mechanism,https://ncatlab.org/nlab/show/Green-Schwarz+mechanism,,
Q5608550,Gribov ambiguity,,,,,,,,,,,Gribov ambiguity,https://ncatlab.org/nlab/show/Gribov+ambiguity,,
Q5610625,Gross–Neveu model,,,,,,,,,,,Gross-Neveu model,https://ncatlab.org/nlab/show/Gross-Neveu+model,,
Q5610720,Grothendieck connection,,,,,,,,,,,Grothendieck connection,https://ncatlab.org/nlab/show/Grothendieck+connection,,
Q5610721,Grothendieck category,,,,,,,,,,,Grothendieck category,https://ncatlab.org/nlab/show/Grothendieck+category,,
Q5610722,Grothendieck construction,,,,,,,,,,,T-Grothendieck construction,https://ncatlab.org/nlab/show/T-Grothendieck+construction,,
Q5610724,Grothendieck local duality,,,,,,,,,,,Grothendieck duality,https://ncatlab.org/nlab/show/Grothendieck+duality,,
Q5610727,Grothendieck existence theorem,,,,,,,,,,,Grothendieck existence,https://ncatlab.org/nlab/show/Grothendieck+existence,,
Q5610729,Grothendieck spectral sequence,,,,,,,,,,,Grothendieck spectral sequence,https://ncatlab.org/nlab/show/Grothendieck+spectral+sequence,,
Q5610731,Grothendieck inequality,,,,,,,,,,,Grothendieck inequality,https://ncatlab.org/nlab/show/Grothendieck+inequality,,
Q5610732,Grothendieck trace formula,,,,,,,,,,,Grothendieck-Lefschetz trace formula,https://ncatlab.org/nlab/show/Grothendieck-Lefschetz+trace+formula,,
