Wikidata ID,Wikidata Label,BCT Name,BCT Link,Chicago Name,Chicago Link,Clowder Name,Clowder Link,Context Name,Context Link,Mathlib Name,Mathlib Link,nLab Name,nLab Link,PlanetMath Name,PlanetMath Link
Q1052678,Baire category theorem,,,,,,,,,Baire theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Baire/Lemmas.html#dense_iInter_of_isOpen,Baire category theorem,https://ncatlab.org/nlab/show/Baire+category+theorem,Baire category theorem,http://planetmath.org/bairecategorytheorem
Q1052752,Stolz–Cesàro theorem,,,,,,,,,,,,,Stolz-Cesaro theorem,http://planetmath.org/stolzcesarotheorem
Q1052761,local homeomorphism,,,,,,,,,,,local homeomorphism,https://ncatlab.org/nlab/show/local+homeomorphism,locally homeomorphic,http://planetmath.org/locallyhomeomorphic
Q1052775,Poisson bracket,,,,,,,,,,,,,Poisson bracket,http://planetmath.org/poissonbracket
Q1053064,map,map,https://arxiv.org/pdf/1612.09375#page=18,,,,,map,https://emilyriehl.github.io/files/context.pdf#page=21,,,map,https://ncatlab.org/nlab/show/map,,
Q105326306,Cube,,,,,,,,,,,cube,https://ncatlab.org/nlab/show/cube,,
Q105332556,unit ball,,,,,,,,,,,unit ball,https://ncatlab.org/nlab/show/unit+ball,,
Q10535634,initial object,initial object,https://arxiv.org/pdf/1612.09375#page=56,,,,,initial object,https://emilyriehl.github.io/files/context.pdf#page=59,,,weakly initial object,https://ncatlab.org/nlab/show/weakly+initial+object,,
Q105356493,Circle group,,,circle group,https://mathgloss.github.io/MathGloss/chicago/circle_group,,,,,,,circle group,https://ncatlab.org/nlab/show/circle+group,,
Q1053779,Euler system,,,,,,,,,,,Euler systems,https://ncatlab.org/nlab/show/Euler+systems,,
Q1053997,Frattini's argument,,,,,,,,,,,,,Frattini argument,http://planetmath.org/frattiniargument
Q1054170,Hadwiger–Finsler inequality,,,,,,,,,,,,,Hadwiger-Finsler inequality,http://planetmath.org/hadwigerfinslerinequality
Q105443659,Introduction,,,,,,,,,,,,,Introduction,http://planetmath.org/introduction
Q1054475,Gaussian function,,,,,,,,,,,,,area under Gaussian curve,http://planetmath.org/areaundergaussiancurve
Q1054513,E6 (mathematics),,,,,,,,,,,E₆,https://ncatlab.org/nlab/show/E%E2%82%86,,
Q1054539,global symmetry,,,,,,,,,,,generalized global symmetry,https://ncatlab.org/nlab/show/generalized+global+symmetry,,
Q1054555,Magnetic flux tube,,,,,,,,,,,flux tube,https://ncatlab.org/nlab/show/flux+tube,,
Q1054766,public key,,,,,,,,,,,,,public key cryptography,http://planetmath.org/publickeycryptography
Q105481096,Atlas,,,atlas,https://mathgloss.github.io/MathGloss/chicago/atlas,,,,,,,atlas,https://ncatlab.org/nlab/show/atlas,,
Q1055058,Fuzzy set,,,,,,,,,,,,,fuzzy subset,http://planetmath.org/fuzzysubset
Q1055314,Umbral calculus,,,,,,,,,,,umbral calculus,https://ncatlab.org/nlab/show/umbral+calculus,,
Q105580,Gauge boson,,,,,,,,,,,gauge boson,https://ncatlab.org/nlab/show/gauge+boson,,
Q1055807,group representation,,,group representation,https://mathgloss.github.io/MathGloss/chicago/group_representation,,,,,,,representation theory,https://ncatlab.org/nlab/show/representation+theory,group representation,http://planetmath.org/grouprepresentation
Q105637427,Adjoint,,,,,,,,,,,adjoint,https://ncatlab.org/nlab/show/adjoint,adjoint,http://planetmath.org/adjoint
Q105638008,Tensor network,,,,,,,,,,,tensor network,https://ncatlab.org/nlab/show/tensor+network,,
Q1056428,Type theory,,,,,,,,,,,type theory,https://ncatlab.org/nlab/show/type+theory,Type theory,http://planetmath.org/typetheory
Q10564851,closure operator,,,,,,,closure operator,https://emilyriehl.github.io/files/context.pdf#page=178,,,closure operator,https://ncatlab.org/nlab/show/closure+operator,consequence operator,http://planetmath.org/consequenceoperator
