Wikidata ID,Wikidata Label,Chicago Notes,MathLib Undergrad,Topoi,BCT,Context,nlab
[Q831672](https://www.wikidata.org/wiki/Q831672),spanning tree,[maximal subtree](https://mathgloss.github.io/MathGloss/chicago/maximal_subtree),,,,,
[Q1914255](https://www.wikidata.org/wiki/Q1914255),maximum principle,,[maximum principle](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/Analysis/Complex/AbsMax.html#Complex.eventually_eq_of_isLocalMax_norm),,,,
[Q1747745](https://www.wikidata.org/wiki/Q1747745),meagre set,[meager](https://mathgloss.github.io/MathGloss/chicago/meager),,,,https://ncatlab.org/nlab/show/meager%2Bset,
[Q189136](https://www.wikidata.org/wiki/Q189136),mean value theorem,,[mean value theorem](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/Analysis/Calculus/MeanValue.html#exists_ratio_deriv_eq_ratio_slope),,,https://ncatlab.org/nlab/show/mean%2Bvalue%2Btheorem,
[Q3054889](https://www.wikidata.org/wiki/Q3054889),measurable set,[measurable](https://mathgloss.github.io/MathGloss/chicago/measurable),,,,,
[Q3058212](https://www.wikidata.org/wiki/Q3058212),measure space,[measure space](https://mathgloss.github.io/MathGloss/chicago/measure_space),,,,https://ncatlab.org/nlab/show/measure%2Bspace,
[Q1201815](https://www.wikidata.org/wiki/Q1201815),null set,[measure zero](https://mathgloss.github.io/MathGloss/chicago/measure_zero),,,,,
[Q379825](https://www.wikidata.org/wiki/Q379825),element,,,[Set membership](https://mathgloss.github.io/CatGloss/topoi/set_membership),,https://ncatlab.org/nlab/show/membership%2Brelation,
[Q217616](https://www.wikidata.org/wiki/Q217616),meromorphic function,,meromorphic function,,,https://ncatlab.org/nlab/show/meromorphic%2Bfunction,
[Q180953](https://www.wikidata.org/wiki/Q180953),metric space,[metric space](https://mathgloss.github.io/MathGloss/chicago/metric_space),,,,https://ncatlab.org/nlab/show/metric%2Btopology,
[Q630649](https://www.wikidata.org/wiki/Q630649),meter,,[metric structure](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/Topology/MetricSpace/Basic.html#Real.metricSpace),,,,
[Q2242730](https://www.wikidata.org/wiki/Q2242730),minimal polynomial,,[minimal polynomial (field theory)](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/FieldTheory/Minpoly/Basic.html#minpoly),,,,
[Q1163608](https://www.wikidata.org/wiki/Q1163608),minimal polynomial,,[minimal polynomial (linear algebra)](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/FieldTheory/Minpoly/Basic.html#minpoly),,,,
[Q1341061](https://www.wikidata.org/wiki/Q1341061),minor,[minor](https://mathgloss.github.io/MathGloss/chicago/minor),,,,https://ncatlab.org/nlab/show/principal%2Bminor,
[Q1941896](https://www.wikidata.org/wiki/Q1941896),model category,,,,,https://ncatlab.org/nlab/show/simplicial%2Bmodel%2Bcategory,
[Q215111](https://www.wikidata.org/wiki/Q215111),homomorphism,[module homomorphism](https://mathgloss.github.io/MathGloss/chicago/module_homomorphism),,,,[homomorphisms](https://mathgloss.github.io/MathGloss/context/homomorphisms),
[Q18848](https://www.wikidata.org/wiki/Q18848),module,[module over a lie algebra](https://mathgloss.github.io/MathGloss/chicago/module_over_a_lie_algebra),,,,https://ncatlab.org/nlab/show/submodule,
[Q1451745](https://www.wikidata.org/wiki/Q1451745),Moment,,[moments](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/Probability/Moments.html#ProbabilityTheory.moment),,,,
[Q208237](https://www.wikidata.org/wiki/Q208237),monoid,[monoid](https://mathgloss.github.io/MathGloss/chicago/monoid),,[Monoid homomorphism](https://mathgloss.github.io/CatGloss/topoi/monoid_homomorphism),,https://ncatlab.org/nlab/show/submonoid,
[Q1153584](https://www.wikidata.org/wiki/Q1153584),monotone convergence theorem,,[monotone convergence theorem](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/MeasureTheory/Integral/Lebesgue.html#MeasureTheory.lintegral_iInf_ae),,,,
[Q194404](https://www.wikidata.org/wiki/Q194404),monotonic function,,,[Monotone function](https://mathgloss.github.io/CatGloss/topoi/monotone_function),,https://ncatlab.org/nlab/show/monotone%2Bfunction,
[Q232207](https://www.wikidata.org/wiki/Q232207),Monte Carlo method,,monte-Carlo method,,,https://ncatlab.org/nlab/show/Monte%2BCarlo%2Bmethod,
[Q1952404](https://www.wikidata.org/wiki/Q1952404),multilinear map,,[multilinear map](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/LinearAlgebra/Multilinear/Basic.html#MultilinearMap),,,,
[Q98929882](https://www.wikidata.org/wiki/Q98929882),multilinearity,[multilinear](https://mathgloss.github.io/MathGloss/chicago/multilinear),,,,,
[Q17099189](https://www.wikidata.org/wiki/Q17099189),multiplicative character,[multiplicative character](https://mathgloss.github.io/MathGloss/chicago/multiplicative_character),,,,,
[Q2228257](https://www.wikidata.org/wiki/Q2228257),multiplicity,,[multiplicity (mathematics)](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/Data/Polynomial/Div.html#Polynomial.rootMultiplicity),,,,
[Q4504468](https://www.wikidata.org/wiki/Q4504468),chain,[n-chain](https://mathgloss.github.io/MathGloss/chicago/n-chain),,,,https://ncatlab.org/nlab/show/cycle,
[Q21199](https://www.wikidata.org/wiki/Q21199),natural number,,,[Natural number](https://mathgloss.github.io/CatGloss/topoi/natural_number),,https://ncatlab.org/nlab/show/natural%2Bnumber,
[Q2478475](https://www.wikidata.org/wiki/Q2478475),neighborhood,[neighborhood](https://mathgloss.github.io/MathGloss/chicago/neighborhood),,[Neighbourhood](https://mathgloss.github.io/CatGloss/topoi/neighbourhood),,https://ncatlab.org/nlab/show/punctured%2Bneighborhood,
[Q1749812](https://www.wikidata.org/wiki/Q1749812),Newton's identities,,[newton's identities](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/RingTheory/MvPolynomial/NewtonIdentities.html#MvPolynomial.mul_esymm_eq_sum),,,https://ncatlab.org/nlab/show/Newton%2Bidentities,
[Q1755242](https://www.wikidata.org/wiki/Q1755242),nilpotent group,[nilpotent group](https://mathgloss.github.io/MathGloss/chicago/nilpotent_group),,,,https://ncatlab.org/nlab/show/nilpotent%2Bgroup,
[Q15148889](https://www.wikidata.org/wiki/Q15148889),nilpotent Lie algebra,[nilpotent lie algebra](https://mathgloss.github.io/MathGloss/chicago/nilpotent_lie_algebra),,,,https://ncatlab.org/nlab/show/nilpotent%2BLie%2Balgebra,
[Q840023](https://www.wikidata.org/wiki/Q840023),nilpotent element,[nilpotent](https://mathgloss.github.io/MathGloss/chicago/nilpotent),,,,https://ncatlab.org/nlab/show/nilpotent%2Belement,
[Q2444982](https://www.wikidata.org/wiki/Q2444982),Noetherian module,[noetherian module](https://mathgloss.github.io/MathGloss/chicago/noetherian_module),,,,https://ncatlab.org/nlab/show/Noetherian%2Bmodule,
[Q582271](https://www.wikidata.org/wiki/Q582271),noetherian ring,[noetherian ring](https://mathgloss.github.io/MathGloss/chicago/noetherian_ring),,,,https://ncatlab.org/nlab/show/noetherian%2Bring,
[Q3475675](https://www.wikidata.org/wiki/Q3475675),noetherian scheme,,,,,https://ncatlab.org/nlab/show/noetherian%2Bscheme,
[Q1897429](https://www.wikidata.org/wiki/Q1897429),ultrametric space,[non-archimedean absolute value](https://mathgloss.github.io/MathGloss/chicago/non-archimedean_absolute_value),,,,,
[Q7049224](https://www.wikidata.org/wiki/Q7049224),noncommutative ring,,,,,https://ncatlab.org/nlab/show/noncommutative%2Balgebra,
[Q97623888](https://www.wikidata.org/wiki/Q97623888),residual set,[nonmeager](https://mathgloss.github.io/MathGloss/chicago/nonmeager),,,,,
[Q956437](https://www.wikidata.org/wiki/Q956437),norm,[norm](https://mathgloss.github.io/MathGloss/chicago/norm),[norm (mathematics)](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/Analysis/InnerProductSpace/Basic.html#InnerProductSpace.Core.toNorm),,,https://ncatlab.org/nlab/show/norm,
[Q7051829](https://www.wikidata.org/wiki/Q7051829),normal scheme,,,,,https://ncatlab.org/nlab/show/normal%2Bvariety,
