Wikidata ID,Wikidata Label,Chicago,Mathlib,nLab,Context,PlanetMath
[Q494141](https://www.wikidata.org/wiki/Q494141),Bialgebra,,,[bialgebra](https://ncatlab.org/nlab/show/bialgebra),,[bialgebra](http://planetmath.org/bialgebra)
[Q204355](https://www.wikidata.org/wiki/Q204355),Biconditional,,,[biconditional](https://ncatlab.org/nlab/show/biconditional),,[biconditional](http://planetmath.org/biconditional)
[Q180907](https://www.wikidata.org/wiki/Q180907),Bijection,[bijective](https://mathgloss.github.io/MathGloss/chicago/bijective),,[one-to-one correspondence](https://ncatlab.org/nlab/show/one-to-one%20correspondence),[bijections](https://mathgloss.github.io/MathGloss/context/bijections),[bijection](http://planetmath.org/bijection)
[Q837924](https://www.wikidata.org/wiki/Q837924),Bilinear form,,[alternating bilinear forms](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/BilinearForm/Properties.html#LinearMap.BilinForm.IsAlt),[bilinear form](https://ncatlab.org/nlab/show/bilinear%20form),,[skew-symmetric bilinear form](http://planetmath.org/skewsymmetricbilinearform)
[Q1086961](https://www.wikidata.org/wiki/Q1086961),Bilinear map,,,[bilinear map](https://ncatlab.org/nlab/show/bilinear%20map),[bilinear map](https://mathgloss.github.io/MathGloss/context/bilinear_map),[bilinear map](http://planetmath.org/bilinearmap)
[Q2903821](https://www.wikidata.org/wiki/Q2903821),Bimodule,,,[bimodule](https://ncatlab.org/nlab/show/bimodule),,[bimodule](http://planetmath.org/bimodule)
[Q1534522](https://www.wikidata.org/wiki/Q1534522),Binary Golay code,,,[binary Golay code](https://ncatlab.org/nlab/show/binary%20Golay%20code),,[binary Golay code](http://planetmath.org/binarygolaycode)
[Q164307](https://www.wikidata.org/wiki/Q164307),BinaryOperation,[binary operation](https://mathgloss.github.io/MathGloss/chicago/binary_operation),,,,[binary operation](http://planetmath.org/binaryoperation)
[Q947922](https://www.wikidata.org/wiki/Q947922),Binormal,,,[Frenet-Serret formulas](https://ncatlab.org/nlab/show/Frenet-Serret%20formulas),,[Serret-Frenet equations](http://planetmath.org/serretfrenetequations)
[Q174733](https://www.wikidata.org/wiki/Q174733),Bipartite graph,,,[bipartite graph](https://ncatlab.org/nlab/show/bipartite%20graph),,[bipartite graph](http://planetmath.org/bipartitegraph)
[Q4915506](https://www.wikidata.org/wiki/Q4915506),Biproduct,,,[biproduct](https://ncatlab.org/nlab/show/biproduct),[biproducts](https://mathgloss.github.io/MathGloss/context/biproducts),
[Q866364](https://www.wikidata.org/wiki/Q866364),Bisimulation,,,[bisimulation](https://ncatlab.org/nlab/show/bisimulation),,[bisimulation](http://planetmath.org/bisimulation)
[Q663908](https://www.wikidata.org/wiki/Q663908),Bivector,,,[bivector](https://ncatlab.org/nlab/show/bivector),,[bivector](http://planetmath.org/bivector)
[Q884772](https://www.wikidata.org/wiki/Q884772),Block matrix,,,[partitioned matrix](https://ncatlab.org/nlab/show/partitioned%20matrix),,[partitioned matrix](http://planetmath.org/partitionedmatrix)
[Q1317188](https://www.wikidata.org/wiki/Q1317188),BN pair,,,[BN-pair](https://ncatlab.org/nlab/show/BN-pair),,[BN-pair](http://planetmath.org/bnpair)
[Q3269980](https://www.wikidata.org/wiki/Q3269980),Boolean domain,,,[boolean domain](https://ncatlab.org/nlab/show/boolean%20domain),,[Boolean domain](http://planetmath.org/booleandomain)
