Title,Link,Normalized,Candidates
"(infinity,n)-category of cobordisms",https://ncatlab.org/nlab/show/%28infinity%2Cn%29-category+of+cobordisms,infinityncategoryofcobordisms,
"(infinity,n)-category of correspondences",https://ncatlab.org/nlab/show/%28infinity%2Cn%29-category+of+correspondences,infinityncategoryofcorrespondences,
"(infinity,n)-category with adjoints",https://ncatlab.org/nlab/show/%28infinity%2Cn%29-category+with+adjoints,infinityncategorywithadjoints,
"(infinity,n)-category with duals",https://ncatlab.org/nlab/show/%28infinity%2Cn%29-category+with+duals,infinityncategorywithduals,
"(infinity,n)-functor",https://ncatlab.org/nlab/show/%28infinity%2Cn%29-functor,infinitynfunctor,
"(infinity,n)-module",https://ncatlab.org/nlab/show/%28infinity%2Cn%29-module,infinitynmodule,
"(infinity,n)-natural transformation",https://ncatlab.org/nlab/show/%28infinity%2Cn%29-natural+transformation,infinitynnaturaltransformation,
"(infinity,n)-presheaf",https://ncatlab.org/nlab/show/%28infinity%2Cn%29-presheaf,infinitynpresheaf,
"(infinity,n)-sheaf",https://ncatlab.org/nlab/show/%28infinity%2Cn%29-sheaf,infinitynsheaf,
"(infinity,n)-topos",https://ncatlab.org/nlab/show/%28infinity%2Cn%29-topos,infinityntopos,
"(infinity,n)Cat",https://ncatlab.org/nlab/show/%28infinity%2Cn%29Cat,infinityncat,
"(infinity,r)-category > history",https://ncatlab.org/nlab/show/%28infinity%2Cr%29-category+%3E+history,infinityrcategoryhistory,
(n × k)-category,https://ncatlab.org/nlab/show/%28n+%C3%97+k%29-category,nkcategory,
"(n+1,1)-category of n-truncated objects",https://ncatlab.org/nlab/show/%28n%2B1%2C1%29-category+of+n-truncated+objects,n11categoryofntruncatedobjects,
"(n,0)-category",https://ncatlab.org/nlab/show/%28n%2C0%29-category,n0category,
"(n,1)-category",https://ncatlab.org/nlab/show/%28n%2C1%29-category,n1category,
"(n,1)-sheaf",https://ncatlab.org/nlab/show/%28n%2C1%29-sheaf,n1sheaf,
"(n,1)-topos",https://ncatlab.org/nlab/show/%28n%2C1%29-topos,n1topos,
"(n,n)-category",https://ncatlab.org/nlab/show/%28n%2Cn%29-category,nncategory,Q10851797 (0.867; token_jaccard=0.67) strict n-category [layer2.csv]; Q7977957 (0.867; token_jaccard=0.67) weak n-category [layer3.csv]
"(n,r)-category",https://ncatlab.org/nlab/show/%28n%2Cr%29-category,nrcategory,
"(n,r)-congruence",https://ncatlab.org/nlab/show/%28n%2Cr%29-congruence,nrcongruence,
"(n,r)-site",https://ncatlab.org/nlab/show/%28n%2Cr%29-site,nrsite,
"(n-connected, n-truncated) factorization system",https://ncatlab.org/nlab/show/%28n-connected%2C+n-truncated%29+factorization+system,nconnectedntruncatedfactorizationsystem,
"(p,q)-string",https://ncatlab.org/nlab/show/%28p%2Cq%29-string,pqstring,
"(p,q)5-brane",https://ncatlab.org/nlab/show/%28p%2Cq%295-brane,pq5brane,
"(sub)object classifier in an (infinity,1)-topos",https://ncatlab.org/nlab/show/%28sub%29object+classifier+in+an+%28infinity%2C1%29-topos,subobjectclassifierinaninfinity1topos,
"(∞,0)-category > history",https://ncatlab.org/nlab/show/%28%E2%88%9E%2C0%29-category+%3E+history,∞0categoryhistory,
"(∞,1)-algebraic theory",https://ncatlab.org/nlab/show/%28%E2%88%9E%2C1%29-algebraic+theory,∞1algebraictheory,
"(∞,1)-category > history",https://ncatlab.org/nlab/show/%28%E2%88%9E%2C1%29-category+%3E+history,∞1categoryhistory,
"(∞,1)-category of (∞,1)-categories > history",https://ncatlab.org/nlab/show/%28%E2%88%9E%2C1%29-category+of+%28%E2%88%9E%2C1%29-categories+%3E+history,∞1categoryof∞1categorieshistory,
"(∞,1)-comparison lemma",https://ncatlab.org/nlab/show/%28%E2%88%9E%2C1%29-comparison+lemma,∞1comparisonlemma,
"(∞,1)-end",https://ncatlab.org/nlab/show/%28%E2%88%9E%2C1%29-end,∞1end,
"(∞,1)-limit",https://ncatlab.org/nlab/show/%28%E2%88%9E%2C1%29-limit,∞1limit,
"(∞,1)-local geometric morphism",https://ncatlab.org/nlab/show/%28%E2%88%9E%2C1%29-local+geometric+morphism,∞1localgeometricmorphism,
"(∞,1)-logic",https://ncatlab.org/nlab/show/%28%E2%88%9E%2C1%29-logic,∞1logic,
"(∞,1)Operad",https://ncatlab.org/nlab/show/%28%E2%88%9E%2C1%29Operad,∞1operad,
"(∞,2)-category of cobordisms",https://ncatlab.org/nlab/show/%28%E2%88%9E%2C2%29-category+of+cobordisms,∞2categoryofcobordisms,
"(∞,2)-category theory",https://ncatlab.org/nlab/show/%28%E2%88%9E%2C2%29-category+theory,∞2categorytheory,
"(∞,n)-category theory",https://ncatlab.org/nlab/show/%28%E2%88%9E%2Cn%29-category+theory,∞ncategorytheory,
"(∞,Z)-category",https://ncatlab.org/nlab/show/%28%E2%88%9E%2CZ%29-category,∞zcategory,
0-bundle,https://ncatlab.org/nlab/show/0-bundle,0bundle,
0-category,https://ncatlab.org/nlab/show/0-category,0category,
0-functor,https://ncatlab.org/nlab/show/0-functor,0functor,
0-groupoid,https://ncatlab.org/nlab/show/0-groupoid,0groupoid,
0-morphism,https://ncatlab.org/nlab/show/0-morphism,0morphism,
0-object > history,https://ncatlab.org/nlab/show/0-object+%3E+history,0objecthistory,
0-poset,https://ncatlab.org/nlab/show/0-poset,0poset,
0-sphere,https://ncatlab.org/nlab/show/0-sphere,0sphere,
01-bounded semilattice,https://ncatlab.org/nlab/show/01-bounded+semilattice,01boundedsemilattice,
1-category,https://ncatlab.org/nlab/show/1-category,1category,
1-category equipped with relations,https://ncatlab.org/nlab/show/1-category+equipped+with+relations,1categoryequippedwithrelations,
1-functor,https://ncatlab.org/nlab/show/1-functor,1functor,
1-groupoid,https://ncatlab.org/nlab/show/1-groupoid,1groupoid,
1-morphism,https://ncatlab.org/nlab/show/1-morphism,1morphism,
1-poset,https://ncatlab.org/nlab/show/1-poset,1poset,
1-topos,https://ncatlab.org/nlab/show/1-topos,1topos,
10j symbol,https://ncatlab.org/nlab/show/10j+symbol,10jsymbol,
11d SuGra from super C-field flux quantization -- section,https://ncatlab.org/nlab/show/11d+SuGra+from+super+C-field+flux+quantization+--+section,11dsugrafromsupercfieldfluxquantizationsection,
13-sphere,https://ncatlab.org/nlab/show/13-sphere,13sphere,
15-sphere,https://ncatlab.org/nlab/show/15-sphere,15sphere,
1d Dijkgraaf-Witten theory,https://ncatlab.org/nlab/show/1d+Dijkgraaf-Witten+theory,1ddijkgraafwittentheory,
1d WZW model,https://ncatlab.org/nlab/show/1d+WZW+model,1dwzwmodel,
1lab,https://ncatlab.org/nlab/show/1lab,1lab,
1T relation,https://ncatlab.org/nlab/show/1T+relation,1trelation,
2-adjunction,https://ncatlab.org/nlab/show/2-adjunction,2adjunction,
2-algebraic geometry,https://ncatlab.org/nlab/show/2-algebraic+geometry,2algebraicgeometry,
2-categorical limit > history,https://ncatlab.org/nlab/show/2-categorical+limit+%3E+history,2categoricallimithistory,
2-category equipped with proarrows,https://ncatlab.org/nlab/show/2-category+equipped+with+proarrows,2categoryequippedwithproarrows,
2-category of 2-dimensional cobordisms,https://ncatlab.org/nlab/show/2-category+of+2-dimensional+cobordisms,2categoryof2dimensionalcobordisms,
2-category of adjunctions,https://ncatlab.org/nlab/show/2-category+of+adjunctions,2categoryofadjunctions,
2-category theory,https://ncatlab.org/nlab/show/2-category+theory,2categorytheory,
2-category theory - contents,https://ncatlab.org/nlab/show/2-category+theory+-+contents,2categorytheorycontents,
2-category with contravariance,https://ncatlab.org/nlab/show/2-category+with+contravariance,2categorywithcontravariance,
2-congruence,https://ncatlab.org/nlab/show/2-congruence,2congruence,
2-crossed complex,https://ncatlab.org/nlab/show/2-crossed+complex,2crossedcomplex,
2-dinatural transformation,https://ncatlab.org/nlab/show/2-dinatural+transformation,2dinaturaltransformation,
2-gerbe,https://ncatlab.org/nlab/show/2-gerbe,2gerbe,
2-groupoid of Lie 2-algebra valued forms,https://ncatlab.org/nlab/show/2-groupoid+of+Lie+2-algebra+valued+forms,2groupoidoflie2algebravaluedforms,
2-isomorphism,https://ncatlab.org/nlab/show/2-isomorphism,2isomorphism,
2-limit,https://ncatlab.org/nlab/show/2-limit,2limit,
2-limits and 2-colimits in 2-categories of 2-algebras,https://ncatlab.org/nlab/show/2-limits+and+2-colimits+in+2-categories+of+2-algebras,2limitsand2colimitsin2categoriesof2algebras,
2-logic,https://ncatlab.org/nlab/show/2-logic,2logic,
2-monad,https://ncatlab.org/nlab/show/2-monad,2monad,
2-morphism,https://ncatlab.org/nlab/show/2-morphism,2morphism,
2-morphism - SVG,https://ncatlab.org/nlab/show/2-morphism+-+SVG,2morphismsvg,
2-morphisms > history,https://ncatlab.org/nlab/show/2-morphisms+%3E+history,2morphismshistory,
2-periodic Morava K-theory,https://ncatlab.org/nlab/show/2-periodic+Morava+K-theory,2periodicmoravaktheory,
2-periodic sphere spectrum,https://ncatlab.org/nlab/show/2-periodic+sphere+spectrum,2periodicspherespectrum,
2-plectic geometry,https://ncatlab.org/nlab/show/2-plectic+geometry,2plecticgeometry,
2-plethory,https://ncatlab.org/nlab/show/2-plethory,2plethory,
2-polycategory,https://ncatlab.org/nlab/show/2-polycategory,2polycategory,
2-poset,https://ncatlab.org/nlab/show/2-poset,2poset,
2-poset of partial maps,https://ncatlab.org/nlab/show/2-poset+of+partial+maps,2posetofpartialmaps,
2-presheaf,https://ncatlab.org/nlab/show/2-presheaf,2presheaf,
2-pretopos,https://ncatlab.org/nlab/show/2-pretopos,2pretopos,
2-pro-object,https://ncatlab.org/nlab/show/2-pro-object,2proobject,
2-pullback,https://ncatlab.org/nlab/show/2-pullback,2pullback,
2-representation,https://ncatlab.org/nlab/show/2-representation,2representation,
2-rig,https://ncatlab.org/nlab/show/2-rig,2rig,
2-sheaf,https://ncatlab.org/nlab/show/2-sheaf,2sheaf,
2-spectral triple,https://ncatlab.org/nlab/show/2-spectral+triple,2spectraltriple,
2-sphere,https://ncatlab.org/nlab/show/2-sphere,2sphere,
2-topos,https://ncatlab.org/nlab/show/2-topos,2topos,
2-topos theory,https://ncatlab.org/nlab/show/2-topos+theory,2topostheory,
2-trivial model structure,https://ncatlab.org/nlab/show/2-trivial+model+structure,2trivialmodelstructure,
2-type > history,https://ncatlab.org/nlab/show/2-type+%3E+history,2typehistory,
2-type theory,https://ncatlab.org/nlab/show/2-type+theory,2typetheory,
2008 changes,https://ncatlab.org/nlab/show/2008+changes,2008changes,
2009 April changes,https://ncatlab.org/nlab/show/2009+April+changes,2009aprilchanges,
2009 August changes,https://ncatlab.org/nlab/show/2009+August+changes,2009augustchanges,
2009 February changes,https://ncatlab.org/nlab/show/2009+February+changes,2009februarychanges,
2009 January changes,https://ncatlab.org/nlab/show/2009+January+changes,2009januarychanges,
2009 July changes,https://ncatlab.org/nlab/show/2009+July+changes,2009julychanges,
2009 June changes,https://ncatlab.org/nlab/show/2009+June+changes,2009junechanges,
2009 March changes,https://ncatlab.org/nlab/show/2009+March+changes,2009marchchanges,
2009 May changes,https://ncatlab.org/nlab/show/2009+May+changes,2009maychanges,
2009 September changes,https://ncatlab.org/nlab/show/2009+September+changes,2009septemberchanges,
24 branes transverse to K3,https://ncatlab.org/nlab/show/24+branes+transverse+to+K3,24branestransversetok3,
2Cat,https://ncatlab.org/nlab/show/2Cat,2cat,
2d TQFT -- table,https://ncatlab.org/nlab/show/2d+TQFT+--+table,2dtqfttable,
2d Wess-Zumino-Witten theory,https://ncatlab.org/nlab/show/2d+Wess-Zumino-Witten+theory,2dwesszuminowittentheory,
2Mod,https://ncatlab.org/nlab/show/2Mod,2mod,
