Wikidata ID,Title,Link,Label,Layer,Score,Reason,Alternates
Q22283522,loop,https://emilyriehl.github.io/files/context.pdf#page=71,Loop,layer5.csv,1.000,exact_letters,Q25208973 (1.000; exact_letters) Loop [layer5.csv]; Q3836720 (1.000; exact_letters) loop [layer4.csv]; Q4360336 (1.000; exact_letters) Loop [layer5.csv]; Q4558786 (1.000; exact_letters) loop [layer4.csv]
Q4038982,free,https://emilyriehl.github.io/files/context.pdf#page=71,free,layer4.csv,1.000,exact_letters,Q5499718 (1.000; exact_letters) Free [layer5.csv]
Q2119470,Sierpinski space,https://emilyriehl.github.io/files/context.pdf#page=72,Sierpiński space,layer4.csv,1.000,exact_letters,
Q1144925,currying,https://emilyriehl.github.io/files/context.pdf#page=72,currying,layer1.csv,1.000,exact_letters,
Q5349490,Eilenberg--MacLane space,https://emilyriehl.github.io/files/context.pdf#page=72,Eilenberg–MacLane space,layer1.csv,1.000,exact_letters,
Q121069543,free action,https://emilyriehl.github.io/files/context.pdf#page=74,free group action,layer5.csv,0.867,token_jaccard=0.67,
Q121069543,free group action,https://emilyriehl.github.io/files/context.pdf#page=74,free group action,layer4.csv,1.000,exact_letters,Q431078 (0.867; token_jaccard=0.67) free group [layer5.csv]; Q288465 (0.867; token_jaccard=0.67) group action [layer2.csv]
Q320577,Yoneda lemma,https://emilyriehl.github.io/files/context.pdf#page=75,Yoneda lemma,layer3.csv,1.000,exact_letters,
Q320577,Yoneda lemma corollary,https://emilyriehl.github.io/files/context.pdf#page=78,Yoneda lemma,layer3.csv,0.867,token_jaccard=0.67,
Q179208,Cayley's theorem,https://emilyriehl.github.io/files/context.pdf#page=79,Cayley's theorem,layer3.csv,1.000,exact_letters,
Q121074938,transitive group action,https://emilyriehl.github.io/files/context.pdf#page=81,transitive group action,layer3.csv,1.000,exact_letters,Q288465 (0.867; token_jaccard=0.67) group action [layer2.csv]
Q121074938,transitive action,https://emilyriehl.github.io/files/context.pdf#page=81,transitive group action,layer5.csv,0.867,token_jaccard=0.67,
Q17104225,torsor,https://emilyriehl.github.io/files/context.pdf#page=81,torsor,layer4.csv,1.000,exact_letters,
Q382698,affine space,https://emilyriehl.github.io/files/context.pdf#page=81,affine space,layer2.csv,1.000,exact_letters,Q3058163 (0.867; token_jaccard=0.67) eucidean affine space [layer3.csv]
Q1163016,tensor product,https://emilyriehl.github.io/files/context.pdf#page=81,tensor product,layer4.csv,1.000,exact_letters,Q39046230 (0.867; token_jaccard=0.67) derived tensor product [layer4.csv]; Q96382131 (0.867; token_jaccard=0.67) inductive tensor product [layer5.csv]; Q1663619 (0.867; token_jaccard=0.67) injective tensor product [layer4.csv]; Q89672221 (0.867; token_jaccard=0.67) projective tensor product [layer4.csv]
Q1163016,tensor product symmetry,https://emilyriehl.github.io/files/context.pdf#page=82,tensor product,layer5.csv,0.867,token_jaccard=0.67,
Q2602722,group ring,https://emilyriehl.github.io/files/context.pdf#page=83,group ring,layer4.csv,1.000,exact_letters,
Q1163016,tensor product associativity,https://emilyriehl.github.io/files/context.pdf#page=83,tensor product,layer5.csv,0.867,token_jaccard=0.67,
Q1163016,tensor product unit,https://emilyriehl.github.io/files/context.pdf#page=83,tensor product,layer5.csv,0.867,token_jaccard=0.67,
Q5051844,category of elements,https://emilyriehl.github.io/files/context.pdf#page=84,category of elements,layer3.csv,1.000,exact_letters,
Q7631737,subobject classifier,https://emilyriehl.github.io/files/context.pdf#page=88,subobject classifier,layer4.csv,1.000,exact_letters,
Q901718,product,https://emilyriehl.github.io/files/context.pdf#page=91,product,layer2.csv,1.000,exact_letters,Q919107 (1.000; exact_letters) product [layer4.csv]
Q2547089,subobject,https://emilyriehl.github.io/files/context.pdf#page=91,subobject,layer4.csv,1.000,exact_letters,
Q106517809,limit,https://emilyriehl.github.io/files/context.pdf#page=91,limit,layer3.csv,1.000,exact_letters,Q112609197 (1.000; exact_letters) Limit [layer5.csv]; Q123514528 (1.000; exact_letters) limit [layer4.csv]; Q1322614 (1.000; exact_letters) limit [layer1.csv]; Q136036266 (1.000; exact_letters) limit [layer2.csv]
Q111204834,colimit,https://emilyriehl.github.io/files/context.pdf#page=91,colimit,layer1.csv,1.000,exact_letters,
Q1442189,constant natural transformation,https://emilyriehl.github.io/files/context.pdf#page=92,natural transformation,layer4.csv,0.867,token_jaccard=0.67,
Q1635267,cone,https://emilyriehl.github.io/files/context.pdf#page=92,cone,layer2.csv,1.000,exact_letters,Q42344 (1.000; exact_letters) cone [layer4.csv]; Q493171 (1.000; exact_letters) cone [layer3.csv]; Q66563361 (1.000; exact_letters) cone [layer4.csv]
Q1397439,pullback,https://emilyriehl.github.io/files/context.pdf#page=96,pullback,layer2.csv,1.000,exact_letters,Q25345330 (1.000; exact_letters) pullback [layer3.csv]; Q978505 (1.000; exact_letters) pullback [layer3.csv]
Q1640811,fiber,https://emilyriehl.github.io/files/context.pdf#page=97,fiber,layer3.csv,1.000,exact_letters,
Q2634828,inverse limit,https://emilyriehl.github.io/files/context.pdf#page=98,inverse limit,layer2.csv,1.000,exact_letters,
Q692689,coproduct,https://emilyriehl.github.io/files/context.pdf#page=99,coproduct,layer2.csv,1.000,exact_letters,
Q5140810,coequalizer,https://emilyriehl.github.io/files/context.pdf#page=99,coequalizer,layer2.csv,1.000,exact_letters,
Q48893562,fork,https://emilyriehl.github.io/files/context.pdf#page=99,fork,layer5.csv,1.000,exact_letters,Q784753 (1.000; exact_letters) fork [layer4.csv]
Q1633079,pushout,https://emilyriehl.github.io/files/context.pdf#page=99,pushout,layer2.csv,1.000,exact_letters,
Q906015,direct limit,https://emilyriehl.github.io/files/context.pdf#page=99,direct limit,layer2.csv,1.000,exact_letters,
Q12510,torus,https://emilyriehl.github.io/files/context.pdf#page=99,torus,layer4.csv,1.000,exact_letters,
Q2156511,cokernel,https://emilyriehl.github.io/files/context.pdf#page=100,cokernel,layer3.csv,1.000,exact_letters,
Q123738054,union,https://emilyriehl.github.io/files/context.pdf#page=100,Union,layer5.csv,1.000,exact_letters,Q185359 (1.000; exact_letters) union [layer4.csv]; Q2669934 (1.000; exact_letters) UNION [layer5.csv]
Q13582243,direct sum,https://emilyriehl.github.io/files/context.pdf#page=101,direct sum,layer3.csv,1.000,exact_letters,
Q11317757,guess and check,https://emilyriehl.github.io/files/context.pdf#page=101,Check and Check,layer5.csv,0.867,token_jaccard=0.67,
Q4370335,complete category,https://emilyriehl.github.io/files/context.pdf#page=103,complete category,layer3.csv,1.000,exact_letters,Q121504772 (0.867; token_jaccard=0.67) finitely complete category [layer5.csv]
Q47007889,cocomplete category,https://emilyriehl.github.io/files/context.pdf#page=103,cocomplete category,layer3.csv,1.000,exact_letters,Q121504773 (0.867; token_jaccard=0.67) finitely cocomplete category [layer5.csv]
Q217608,fixed point,https://emilyriehl.github.io/files/context.pdf#page=105,fixed point,layer2.csv,1.000,exact_letters,Q131832357 (0.867; token_jaccard=0.67) fixed point theory [layer3.csv]; Q2976255 (0.867; token_jaccard=0.67) fixed-point combinator [layer5.csv]; Q1030759 (0.867; token_jaccard=0.67) fixed-point iteration [layer4.csv]; Q5456331 (0.867; token_jaccard=0.67) fixed-point property [layer3.csv]
Q6047782,internal category,https://emilyriehl.github.io/files/context.pdf#page=107,internal category,layer1.csv,1.000,exact_letters,
Q38034847,create,https://emilyriehl.github.io/files/context.pdf#page=108,create,layer4.csv,1.000,exact_letters,
