title,link
filtered colimit,https://emilyriehl.github.io/files/context.pdf#page=132
finite limit,https://emilyriehl.github.io/files/context.pdf#page=132
category of models for an algebraic theory,https://emilyriehl.github.io/files/context.pdf#page=132
algebraic theory category of models,https://emilyriehl.github.io/files/context.pdf#page=132
free vector space,https://emilyriehl.github.io/files/context.pdf#page=135
formal sum,https://emilyriehl.github.io/files/context.pdf#page=135
adjunction,https://emilyriehl.github.io/files/context.pdf#page=136
left vs right adjoint,https://emilyriehl.github.io/files/context.pdf#page=136
adjunct,https://emilyriehl.github.io/files/context.pdf#page=136
transpose,https://emilyriehl.github.io/files/context.pdf#page=136
lower adjoint,https://emilyriehl.github.io/files/context.pdf#page=138
upper adjoint,https://emilyriehl.github.io/files/context.pdf#page=138
group completion,https://emilyriehl.github.io/files/context.pdf#page=139
restriction of scalars,https://emilyriehl.github.io/files/context.pdf#page=140
extension of scalars,https://emilyriehl.github.io/files/context.pdf#page=140
monadic adjunction,https://emilyriehl.github.io/files/context.pdf#page=140
arrow atomic,https://emilyriehl.github.io/files/context.pdf#page=140
unit of an adjunction,https://emilyriehl.github.io/files/context.pdf#page=142
adjunction unit,https://emilyriehl.github.io/files/context.pdf#page=142
counit of an adjunction,https://emilyriehl.github.io/files/context.pdf#page=142
adjunction counit,https://emilyriehl.github.io/files/context.pdf#page=142
adjunction triangle identity,https://emilyriehl.github.io/files/context.pdf#page=143
triangle identity,https://emilyriehl.github.io/files/context.pdf#page=143
fully-specified adjunction,https://emilyriehl.github.io/files/context.pdf#page=144
adjunction morphism,https://emilyriehl.github.io/files/context.pdf#page=146
mutually left or right adjoint functor,https://emilyriehl.github.io/files/context.pdf#page=146
axiom in a first-order language,https://emilyriehl.github.io/files/context.pdf#page=147
syntax and semantics,https://emilyriehl.github.io/files/context.pdf#page=148
two-variable adjoint functor,https://emilyriehl.github.io/files/context.pdf#page=149
two-variable adjunction,https://emilyriehl.github.io/files/context.pdf#page=149
left or right closure,https://emilyriehl.github.io/files/context.pdf#page=149
closed functor,https://emilyriehl.github.io/files/context.pdf#page=149
convenient category of space,https://emilyriehl.github.io/files/context.pdf#page=149
multivariable adjunction,https://emilyriehl.github.io/files/context.pdf#page=151
right adjoint preserves limits,https://emilyriehl.github.io/files/context.pdf#page=156
left adjoint preserves colimits,https://emilyriehl.github.io/files/context.pdf#page=158
tensor product distributes over direct sums,https://emilyriehl.github.io/files/context.pdf#page=158
cardinal arithmetic,https://emilyriehl.github.io/files/context.pdf#page=158
left or right exact,https://emilyriehl.github.io/files/context.pdf#page=159
left or right exact functor,https://emilyriehl.github.io/files/context.pdf#page=159
