Title,Link,Normalized,Candidates
probing of object,https://arxiv.org/pdf/1612.09375#page=89,probingofobject,
-set of category object,https://arxiv.org/pdf/1612.09375#page=86,setofcategoryobject,Q15975724 (0.840; token_jaccard=0.60) object of a category [layer3.csv]
open subset,https://arxiv.org/pdf/1612.09375#page=97,opensubset,
order-preserving,https://arxiv.org/pdf/1612.09375#page=30,orderpreserving,
ordered set,https://arxiv.org/pdf/1612.09375#page=23,orderedset,Q474715 (0.867; token_jaccard=0.67) partially ordered set [layer5.csv]; Q7574848 (0.867; token_jaccard=0.67) special ordered set [layer1.csv]; Q3054922 (0.867; token_jaccard=0.67) totally ordered set [layer1.csv]; Q54561312 (0.867; token_jaccard=0.67) well-ordered set [layer2.csv]
adjunction between ordered set,https://arxiv.org/pdf/1612.09375#page=62,adjunctionbetweenorderedset,
complete small category is ordered set,https://arxiv.org/pdf/1612.09375#page=170,completesmallcategoryisorderedset,
product in ordered set,https://arxiv.org/pdf/1612.09375#page=118,productinorderedset,
sum in ordered set,https://arxiv.org/pdf/1612.09375#page=136,suminorderedset,
pointwise,https://arxiv.org/pdf/1612.09375#page=31,pointwise,
poset,https://arxiv.org/pdf/1612.09375#page=23,poset,
preorder,https://arxiv.org/pdf/1612.09375#page=23,preorder,
is cartesian closed presheaf,https://arxiv.org/pdf/1612.09375#page=174,iscartesianclosedpresheaf,
limits in presheaf,https://arxiv.org/pdf/1612.09375#page=160,limitsinpresheaf,
monics and epics in presheaf,https://arxiv.org/pdf/1612.09375#page=164,monicsandepicsinpresheaf,
slice of presheaf,https://arxiv.org/pdf/1612.09375#page=165,sliceofpresheaf,
is topos presheaf,https://arxiv.org/pdf/1612.09375#page=177,istopospresheaf,
as colimit of representables presheaf,https://arxiv.org/pdf/1612.09375#page=161,ascolimitofrepresentablespresheaf,
element of presheaf,https://arxiv.org/pdf/1612.09375#page=107,elementofpresheaf,
prime numbers,https://arxiv.org/pdf/1612.09375#page=161,primenumbers,
associativity of product,https://arxiv.org/pdf/1612.09375#page=159,associativityofproduct,
binary product,https://arxiv.org/pdf/1612.09375#page=119,binaryproduct,
commutativity of product,https://arxiv.org/pdf/1612.09375#page=159,commutativityofproduct,
functoriality of product,https://arxiv.org/pdf/1612.09375#page=147,functorialityofproduct,
informal usage product,https://arxiv.org/pdf/1612.09375#page=117,informalusageproduct,
map into product,https://arxiv.org/pdf/1612.09375#page=153,mapintoproduct,
as pullback product,https://arxiv.org/pdf/1612.09375#page=123,aspullbackproduct,
uniqueness of product,https://arxiv.org/pdf/1612.09375#page=117,uniquenessofproduct,
vs.\ equalizer pullback,https://arxiv.org/pdf/1612.09375#page=132,vsequalizerpullback,
of monic pullback,https://arxiv.org/pdf/1612.09375#page=133,ofmonicpullback,
pasting of pullbacks,https://arxiv.org/pdf/1612.09375#page=132,pastingofpullbacks,
square pullback,https://arxiv.org/pdf/1612.09375#page=123,squarepullback,
quantifiers as adjoints,https://arxiv.org/pdf/1612.09375#page=65,quantifiersasadjoints,
quotient,https://arxiv.org/pdf/1612.09375#page=140,quotient,
reflection (adjunction),https://arxiv.org/pdf/1612.09375#page=65,reflectionadjunction,
reflection of limits,https://arxiv.org/pdf/1612.09375#page=144,reflectionoflimits,
reflective,https://arxiv.org/pdf/1612.09375#page=54,reflective,
of functor relation,https://arxiv.org/pdf/1612.09375#page=92,offunctorrelation,
as universal element relation,https://arxiv.org/pdf/1612.09375#page=107,asuniversalelementrelation,
linear relation,https://arxiv.org/pdf/1612.09375#page=30,linearrelation,
regular relation,https://arxiv.org/pdf/1612.09375#page=93,regularrelation,
epics in ring,https://arxiv.org/pdf/1612.09375#page=142,epicsinring,
is not essentially small ring,https://arxiv.org/pdf/1612.09375#page=85,isnotessentiallysmallring,
isomorphisms in ring,https://arxiv.org/pdf/1612.09375#page=20,isomorphismsinring,
limits in ring,https://arxiv.org/pdf/1612.09375#page=129,limitsinring,
is locally small ring,https://arxiv.org/pdf/1612.09375#page=84,islocallysmallring,
monics in ring,https://arxiv.org/pdf/1612.09375#page=131,monicsinring,
free ring,https://arxiv.org/pdf/1612.09375#page=95,freering,
SAFT (special adjoint functor theorem),https://arxiv.org/pdf/1612.09375#page=171,saftspecialadjointfunctortheorem,
sameness,https://arxiv.org/pdf/1612.09375#page=41,sameness,
axiomatization of sets sequence,https://arxiv.org/pdf/1612.09375#page=87,axiomatizationofsetssequence,
category of sets sequence,https://arxiv.org/pdf/1612.09375#page=19,categoryofsetssequence,Q2518298 (0.900; token_jaccard=0.75) category of sets [layer2.csv]; Q5051853 (0.840; token_jaccard=0.60) category of preordered sets [layer2.csv]
coequalizers in sequence,https://arxiv.org/pdf/1612.09375#page=137,coequalizersinsequence,
colimits in sequence,https://arxiv.org/pdf/1612.09375#page=139,colimitsinsequence,
epics in sequence,https://arxiv.org/pdf/1612.09375#page=141,epicsinsequence,
equalizers in sequence,https://arxiv.org/pdf/1612.09375#page=78,equalizersinsequence,
is not essentially small sequence,https://arxiv.org/pdf/1612.09375#page=84,isnotessentiallysmallsequence,
isomorphisms in sequence,https://arxiv.org/pdf/1612.09375#page=20,isomorphismsinsequence,
limits in sequence,https://arxiv.org/pdf/1612.09375#page=128,limitsinsequence,
is locally small sequence,https://arxiv.org/pdf/1612.09375#page=83,islocallysmallsequence,
monics in sequence,https://arxiv.org/pdf/1612.09375#page=131,monicsinsequence,
products in sequence,https://arxiv.org/pdf/1612.09375#page=55,productsinsequence,
pushouts in sequence,https://arxiv.org/pdf/1612.09375#page=138,pushoutsinsequence,
sums in sequence,https://arxiv.org/pdf/1612.09375#page=76,sumsinsequence,
as topos sequence,https://arxiv.org/pdf/1612.09375#page=90,astopossequence,
conflicting meaning in ZFC sequence,https://arxiv.org/pdf/1612.09375#page=88,conflictingmeaninginzfcsequence,
