Wikidata ID,Title,Link,Label,Layer,Score,Reason,Alternates,Provenance
Q1097991,irreflexive relation,https://ncatlab.org/nlab/show/irreflexive+relation,irreflexive relation,layer5.csv,1.000,exact_letters,,layer_match
Q6802914,Isaac Newton,https://ncatlab.org/nlab/show/Isaac+Newton,Me & Isaac Newton,layer5.csv,0.867,token_jaccard=0.67,,layer_match
Q2469610,Isabelle,https://ncatlab.org/nlab/show/Isabelle,Isabelle,layer5.csv,1.000,exact_letters,Q60838896 (1.000; exact_letters) Isabelle [layer5.csv]; Q97179805 (1.000; exact_letters) Isabelle [layer5.csv],layer_match
Q1076349,Ising model,https://ncatlab.org/nlab/show/Ising+model,Ising model,layer2.csv,1.000,exact_letters,,layer_match
Q431672,isobar,https://ncatlab.org/nlab/show/isobar,isobar,layer4.csv,1.000,exact_letters,,layer_match
Q1674414,isogeny,https://ncatlab.org/nlab/show/isogeny,isogeny,layer3.csv,1.000,exact_letters,,layer_match
Q1142889,isolated point,https://ncatlab.org/nlab/show/isolated+point,isolated point,layer3.csv,1.000,exact_letters,,layer_match
Q740207,isometry,https://ncatlab.org/nlab/show/isometry,isometry,layer2.csv,1.000,exact_letters,,layer_match
Q2211166,isometry group,https://ncatlab.org/nlab/show/isometry+group,isometry group,layer4.csv,1.000,exact_letters,,layer_match
Q8346687,isomorphism class,https://ncatlab.org/nlab/show/isomorphism+class,isomorphism class,layer3.csv,1.000,exact_letters,,layer_match
Q836938,isospin,https://ncatlab.org/nlab/show/isospin,isospin,layer3.csv,1.000,exact_letters,,layer_match
Q1311829,isosurface,https://ncatlab.org/nlab/show/isosurface,isosurface,layer3.csv,1.000,exact_letters,,layer_match
Q62561074,isotopy,https://ncatlab.org/nlab/show/isotopy,isotopy,layer4.csv,1.000,exact_letters,,layer_match
Q2066070,iterated loop space,https://ncatlab.org/nlab/show/iterated+loop+space,loop space,layer5.csv,0.867,token_jaccard=0.67,,layer_match
Q1945014,iterated monoidal category,https://ncatlab.org/nlab/show/iterated+monoidal+category,monoidal category,layer3.csv,0.867,token_jaccard=0.67,,layer_match
Q1012612,Iwahori–Hecke algebra,https://ncatlab.org/nlab/show/Iwahori%E2%80%93Hecke+algebra,Iwahori–Hecke algebra,layer1.csv,1.000,exact_letters,,layer_match
Q6100701,Iwasawa algebra,https://ncatlab.org/nlab/show/Iwasawa+algebra,Iwasawa algebra,layer2.csv,1.000,exact_letters,,layer_match
Q750099,Iwasawa decomposition,https://ncatlab.org/nlab/show/Iwasawa+decomposition,Iwasawa decomposition,layer3.csv,1.000,exact_letters,,layer_match
Q6103838,J-homomorphism,https://ncatlab.org/nlab/show/J-homomorphism,J-homomorphism,layer3.csv,1.000,exact_letters,,layer_match
Q333871,J-orthogonal matrix,https://ncatlab.org/nlab/show/J-orthogonal+matrix,orthogonal matrix,layer3.csv,0.867,token_jaccard=0.67,,layer_match
Q10304573,J. C. Hurtubise,https://ncatlab.org/nlab/show/J.+C.+Hurtubise,J.C.,layer5.csv,0.867,token_jaccard=0.67,,layer_match
Q6119638,Jacobi form,https://ncatlab.org/nlab/show/Jacobi+form,Jacobi form,layer1.csv,1.000,exact_letters,,layer_match
Q1151539,Jacobi identity,https://ncatlab.org/nlab/show/Jacobi+identity,Jacobi identity,layer3.csv,1.000,exact_letters,,layer_match
Q241015,Jacobi symbol,https://ncatlab.org/nlab/show/Jacobi+symbol,Jacobi symbol,layer1.csv,1.000,exact_letters,,layer_match
Q1154787,Jacobi theta function,https://ncatlab.org/nlab/show/Jacobi+theta+function,theta function,layer3.csv,0.867,token_jaccard=0.67,,layer_match
Q507393,Jacobi triple product,https://ncatlab.org/nlab/show/Jacobi+triple+product,Jacobi triple product,layer4.csv,1.000,exact_letters,Q36248 (0.867; token_jaccard=0.67) triple product [layer5.csv],layer_match
Q2605695,Jacobian conjecture,https://ncatlab.org/nlab/show/Jacobian+conjecture,Jacobian conjecture,layer2.csv,1.000,exact_letters,,layer_match
Q845729,Jacobian variety,https://ncatlab.org/nlab/show/Jacobian+variety,Jacobian variety,layer2.csv,1.000,exact_letters,,layer_match
Q1677769,Jacobson radical,https://ncatlab.org/nlab/show/Jacobson+radical,Jacobson radical,layer1.csv,1.000,exact_letters,,layer_match
Q2620920,Jacobson ring,https://ncatlab.org/nlab/show/Jacobson+ring,Jacobson ring,layer1.csv,1.000,exact_letters,,layer_match
Q104841721,Jacobson-Morozov theorem,https://ncatlab.org/nlab/show/Jacobson-Morozov+theorem,Jacobson–Morozov theorem,layer3.csv,1.000,exact_letters,,layer_match
Q15844841,James Arthur,https://ncatlab.org/nlab/show/James+Arthur,James Arthur Tour,layer5.csv,0.867,token_jaccard=0.67,,layer_match
Q3168739,Jean-Philippe Bernardy,https://ncatlab.org/nlab/show/Jean-Philippe+Bernardy,Jean-Philippe,layer5.csv,0.867,token_jaccard=0.67,,layer_match
Q3168739,Jean-Philippe Vert,https://ncatlab.org/nlab/show/Jean-Philippe+Vert,Jean-Philippe,layer5.csv,0.867,token_jaccard=0.67,,layer_match
Q497332,jerk,https://ncatlab.org/nlab/show/jerk,jerk,layer3.csv,1.000,exact_letters,,layer_match
Q6188933,jet bundle,https://ncatlab.org/nlab/show/jet+bundle,jet bundle,layer3.csv,1.000,exact_letters,,layer_match
Q21819939,Johannes Kepler,https://ncatlab.org/nlab/show/Johannes+Kepler,Johannes Kepler,layer5.csv,1.000,exact_letters,,layer_match
Q11061460,join,https://ncatlab.org/nlab/show/join,join,layer3.csv,1.000,exact_letters,Q2003535 (1.000; exact_letters) JOIN [layer5.csv]; Q3183033 (1.000; exact_letters) join [layer2.csv]; Q6268984 (1.000; exact_letters) join [layer4.csv],layer_match
Q1528291,Jones polynomial,https://ncatlab.org/nlab/show/Jones+polynomial,Jones polynomial,layer5.csv,1.000,exact_letters,,layer_match
Q649977,Jordan algebra,https://ncatlab.org/nlab/show/Jordan+algebra,Jordan algebra,layer1.csv,1.000,exact_letters,Q17099425 (0.867; token_jaccard=0.67) noncommutative Jordan algebra [layer4.csv]; Q17099687 (0.867; token_jaccard=0.67) Quadratic Jordan algebra [layer3.csv],layer_match
Q260928,Jordan curve,https://ncatlab.org/nlab/show/Jordan+curve,Jordan curve theorem,layer4.csv,0.867,token_jaccard=0.67,,layer_match
Q260928,Jordan curve theorem,https://ncatlab.org/nlab/show/Jordan+curve+theorem,Jordan curve theorem,layer3.csv,1.000,exact_letters,,layer_match
Q737458,Jordan-Hölder theorem,https://ncatlab.org/nlab/show/Jordan-H%C3%B6lder+theorem,Jordan–Hölder theorem,layer3.csv,1.000,exact_letters,,layer_match
Q3021903,Joyal delta-ring,https://ncatlab.org/nlab/show/Joyal+delta-ring,Delta-ring,layer1.csv,0.867,token_jaccard=0.67,,layer_match
Q4531156,Jucys-Murphy element,https://ncatlab.org/nlab/show/Jucys-Murphy+element,Jucys–Murphy element,layer1.csv,1.000,exact_letters,,layer_match
Q1720612,judgment,https://ncatlab.org/nlab/show/judgment,judgment,layer2.csv,1.000,exact_letters,,layer_match
Q848427,Julia set,https://ncatlab.org/nlab/show/Julia+set,Julia set,layer1.csv,1.000,exact_letters,,layer_match
