Wikidata ID,Title,Link,Label,Layer,Score,Reason,Alternates,Provenance
Q719395,category,https://mathgloss.github.io/MathGloss/chicago/category,category,layer2.csv,1.000,exact_letters,,layer_match
Q2518298,category of sets,https://mathgloss.github.io/MathGloss/chicago/category_of_sets,category of sets,layer2.csv,1.000,exact_letters,Q5051853 (0.900; token_jaccard=0.75) category of preordered sets [layer2.csv],layer_match
Q2000555,category of topological spaces,https://mathgloss.github.io/MathGloss/chicago/category_of_topological_spaces,category of topological spaces,layer2.csv,1.000,exact_letters,Q113834084 (0.920; token_jaccard=0.80) category of pointed topological spaces [layer2.csv]; Q5051854 (0.920; token_jaccard=0.80) category of topological vector spaces [layer5.csv]; Q5051850 (0.840; token_jaccard=0.60) category of metric spaces [layer2.csv],layer_match
Q511093,centroid,https://mathgloss.github.io/MathGloss/chicago/centroid,centroid,layer3.csv,1.000,exact_letters,,layer_match
Q849705,characteristic polynomial,https://mathgloss.github.io/MathGloss/chicago/characteristic_polynomial,characteristic polynomial,layer4.csv,1.000,exact_letters,Q114727829 (0.867; token_jaccard=0.67) The characteristic polynomial [layer2.csv],layer_match
Q3828144,chart,https://mathgloss.github.io/MathGloss/chicago/chart,chart,layer4.csv,1.000,exact_letters,,layer_match
Q1095987,class,https://mathgloss.github.io/MathGloss/chicago/class,Class,layer5.csv,1.000,exact_letters,,layer_match
Q986909,class function,https://mathgloss.github.io/MathGloss/chicago/class_function,class function,layer2.csv,1.000,exact_letters,Q25304510 (0.867; token_jaccard=0.67) learnable function class [layer3.csv],layer_match
Q644719,closed half space,https://mathgloss.github.io/MathGloss/chicago/closed_half-space,half-space,layer4.csv,0.867,token_jaccard=0.67,,layer_match
Q106504945,closure,https://mathgloss.github.io/MathGloss/chicago/closure,Closure,layer5.csv,1.000,exact_letters,Q320346 (1.000; exact_letters) closure [layer3.csv]; Q4720939 (1.000; exact_letters) closure [layer1.csv],layer_match
Q3117689,compact Lie group,https://mathgloss.github.io/MathGloss/chicago/compact_Lie_group,compact Lie group,layer4.csv,1.000,exact_letters,Q1887083 (0.867; token_jaccard=0.67) compact group [layer5.csv]; Q622679 (0.867; token_jaccard=0.67) Lie group [layer5.csv],layer_match
Q78484790,compact symplectic group,https://mathgloss.github.io/MathGloss/chicago/compact_symplectic_group,compact symplectic group,layer5.csv,1.000,exact_letters,Q1887083 (0.867; token_jaccard=0.67) compact group [layer5.csv]; Q936434 (0.867; token_jaccard=0.67) symplectic group [layer5.csv],layer_match
Q5156434,complemented lattice,https://mathgloss.github.io/MathGloss/chicago/complemented_lattice,complemented lattice,layer4.csv,1.000,exact_letters,,layer_match
Q848569,complete metric space,https://mathgloss.github.io/MathGloss/chicago/complete_metric_space,complete metric space,layer4.csv,1.000,exact_letters,Q180953 (0.867; token_jaccard=0.67) metric space [layer5.csv],layer_match
Q5156554,complex Lie group,https://mathgloss.github.io/MathGloss/chicago/complex_Lie_group,complex Lie group,layer4.csv,1.000,exact_letters,Q622679 (0.867; token_jaccard=0.67) Lie group [layer5.csv],layer_match
Q381040,complex conjugate,https://mathgloss.github.io/MathGloss/chicago/complex_conjugate,complex conjugate,layer3.csv,1.000,exact_letters,Q10754052 (0.867; token_jaccard=0.67) complex conjugate matrix [layer3.csv],layer_match
Q467699,complex line integral,https://mathgloss.github.io/MathGloss/chicago/complex_line_integral,line integral,layer2.csv,0.867,token_jaccard=0.67,,layer_match
Q1783179,complex orthogonal group,https://mathgloss.github.io/MathGloss/chicago/complex_orthogonal_group,orthogonal group,layer5.csv,0.867,token_jaccard=0.67,,layer_match
Q936434,complex symplectic group,https://mathgloss.github.io/MathGloss/chicago/complex_symplectic_group,symplectic group,layer5.csv,0.867,token_jaccard=0.67,,layer_match
Q929302,complexification of a vector space,https://mathgloss.github.io/MathGloss/chicago/complexification_of_a_vector_space,dimension of a vector space,layer3.csv,0.867,token_jaccard=0.67,,layer_match
Q577835,composite field extension,https://mathgloss.github.io/MathGloss/chicago/composite_field_extension,field extension,layer3.csv,0.867,token_jaccard=0.67,,layer_match
Q114232251,connected,https://mathgloss.github.io/MathGloss/chicago/connected,Connected,layer5.csv,1.000,exact_letters,Q20728319 (1.000; exact_letters) Connected [layer5.csv]; Q2483961 (1.000; exact_letters) Connected [layer5.csv]; Q27045042 (1.000; exact_letters) Connected [layer5.csv]; Q56305827 (1.000; exact_letters) Connected [layer5.csv],layer_match
Q91050456,connected component,https://mathgloss.github.io/MathGloss/chicago/connected_component,connected component,layer3.csv,1.000,exact_letters,Q2003238 (0.867; token_jaccard=0.67) strongly connected component [layer3.csv],layer_match
Q230655,connected graph,https://mathgloss.github.io/MathGloss/chicago/connected_graph,connected graph,layer2.csv,1.000,exact_letters,Q132078220 (0.867; token_jaccard=0.67) Hamilton-connected graph [layer5.csv]; Q122389658 (0.867; token_jaccard=0.67) strongly connected graph [layer4.csv],layer_match
Q1055807,continuous group representation,https://mathgloss.github.io/MathGloss/chicago/continuous_group_representation,group representation,layer3.csv,0.867,token_jaccard=0.67,,layer_match
Q515173,contraction mapping,https://mathgloss.github.io/MathGloss/chicago/contraction_mapping,contraction mapping,layer2.csv,1.000,exact_letters,,layer_match
Q768656,convergence in measure,https://mathgloss.github.io/MathGloss/chicago/convergence_in_measure,convergence in measure,layer4.csv,1.000,exact_letters,,layer_match
Q193657,convex set,https://mathgloss.github.io/MathGloss/chicago/convex_set,convex set,layer3.csv,1.000,exact_letters,Q332715 (0.867; token_jaccard=0.67) absolutely convex set [layer5.csv]; Q19597768 (0.867; token_jaccard=0.67) logarithmically convex set [layer5.csv]; Q91483756 (0.867; token_jaccard=0.67) non-convex set [layer3.csv]; Q121010900 (0.867; token_jaccard=0.67) order-convex set [layer5.csv],layer_match
Q16623445,critical point,https://mathgloss.github.io/MathGloss/chicago/critical_point,Critical Point,layer5.csv,1.000,exact_letters,Q5186748 (1.000; exact_letters) critical point [layer1.csv]; Q577705 (1.000; exact_letters) critical point [layer3.csv],layer_match
Q3754024,critical value,https://mathgloss.github.io/MathGloss/chicago/critical_value,critical value,layer3.csv,1.000,exact_letters,,layer_match
Q105085931,cycle,https://mathgloss.github.io/MathGloss/chicago/cycle,Cycle,layer5.csv,1.000,exact_letters,Q114979514 (1.000; exact_letters) Cycle [layer5.csv]; Q30601056 (1.000; exact_letters) Cycle [layer5.csv]; Q49827664 (1.000; exact_letters) Cycle [layer5.csv]; Q5198136 (1.000; exact_letters) Cycle [layer5.csv],layer_match
Q245462,cyclic group,https://mathgloss.github.io/MathGloss/chicago/cyclic_group,cyclic group,layer2.csv,1.000,exact_letters,Q2790210 (0.867; token_jaccard=0.67) binary cyclic group [layer4.csv]; Q54806735 (0.867; token_jaccard=0.67) finite cyclic group [layer5.csv]; Q54806746 (0.867; token_jaccard=0.67) infinite cyclic group [layer5.csv]; Q16969335 (0.867; token_jaccard=0.67) primary cyclic group [layer5.csv],layer_match
Q1554628,cyclotomic field,https://mathgloss.github.io/MathGloss/chicago/cyclotomic_field,cyclotomic field,layer4.csv,1.000,exact_letters,,layer_match
Q1051983,cyclotomic polynomial,https://mathgloss.github.io/MathGloss/chicago/cyclotomic_polynomial,cyclotomic polynomial,layer4.csv,1.000,exact_letters,,layer_match
Q3493864,degree of field extension,https://mathgloss.github.io/MathGloss/chicago/degree_of_field_extension,Degree of a field extension,layer4.csv,0.920,token_jaccard=0.80,,layer_match
Q1473607,degree of polynomial,https://mathgloss.github.io/MathGloss/chicago/degree_of_polynomial,degree of a polynomial,layer3.csv,0.900,token_jaccard=0.75,,layer_match
Q451323,derivation,https://mathgloss.github.io/MathGloss/chicago/derivation,derivation,layer3.csv,1.000,exact_letters,,layer_match
Q5062152,descending central series,https://mathgloss.github.io/MathGloss/chicago/descending_central_series,central series,layer3.csv,0.867,token_jaccard=0.67,,layer_match
Q178546,determinant,https://mathgloss.github.io/MathGloss/chicago/determinant,determinant,layer4.csv,1.000,exact_letters,,layer_match
Q1058314,diffeomorphism,https://mathgloss.github.io/MathGloss/chicago/diffeomorphism,diffeomorphism,layer3.csv,1.000,exact_letters,,layer_match
Q1142861,direct sum of modules,https://mathgloss.github.io/MathGloss/chicago/direct_sum_of_modules,direct sum of modules,layer3.csv,1.000,exact_letters,Q4166523 (0.840; token_jaccard=0.60) direct sum of groups [layer4.csv]; Q134607551 (0.840; token_jaccard=0.60) Direct sum of matrices [layer5.csv],layer_match
Q383851,directional derivative,https://mathgloss.github.io/MathGloss/chicago/directional_derivative,directional derivative,layer3.csv,1.000,exact_letters,,layer_match
Q1228851,discrete category,https://mathgloss.github.io/MathGloss/chicago/discrete_category,discrete category,layer3.csv,1.000,exact_letters,,layer_match
Q91267214,discrete topology,https://mathgloss.github.io/MathGloss/chicago/discrete_topology,discrete topology,layer5.csv,1.000,exact_letters,,layer_match
Q192487,discriminant,https://mathgloss.github.io/MathGloss/chicago/discriminant,discriminant,layer5.csv,1.000,exact_letters,,layer_match
Q1782332,divisible group,https://mathgloss.github.io/MathGloss/chicago/divisible_group,divisible group,layer2.csv,1.000,exact_letters,,layer_match
Q1231309,division algebra,https://mathgloss.github.io/MathGloss/chicago/division_algebra,division algebra,layer4.csv,1.000,exact_letters,Q2038861 (0.867; token_jaccard=0.67) normed division algebra [layer5.csv],layer_match
Q650741,division ring,https://mathgloss.github.io/MathGloss/chicago/division_ring,division ring,layer5.csv,1.000,exact_letters,Q119143608 (0.867; token_jaccard=0.67) topological division ring [layer3.csv],layer_match
Q4379157,dual representation of a Lie algebra,https://mathgloss.github.io/MathGloss/chicago/dual_representation_of_a_Lie_algebra,adjoint representation of a Lie algebra,layer4.csv,0.886,token_jaccard=0.71,,layer_match
Q752487,dual space,https://mathgloss.github.io/MathGloss/chicago/dual_space,dual space,layer3.csv,1.000,exact_letters,Q91323680 (0.867; token_jaccard=0.67) algebraic dual space [layer5.csv]; Q16630165 (0.867; token_jaccard=0.67) continuous dual space [layer5.csv]; Q3058166 (0.867; token_jaccard=0.67) double dual space [layer4.csv],layer_match
Q3553768,eigenvalue,https://mathgloss.github.io/MathGloss/chicago/eigenvalue,eigenvalue,layer1.csv,1.000,exact_letters,,layer_match
Q3555174,eigenvector,https://mathgloss.github.io/MathGloss/chicago/eigenvector,eigenvector,layer3.csv,1.000,exact_letters,,layer_match
Q1017231,elementary abelian p group,https://mathgloss.github.io/MathGloss/chicago/elementary_abelian_p-group,elementary abelian group,layer4.csv,0.900,token_jaccard=0.75,,layer_match
Q609566,elementary matrix,https://mathgloss.github.io/MathGloss/chicago/elementary_matrix,elementary matrix,layer4.csv,1.000,exact_letters,,layer_match
Q980509,embedding,https://mathgloss.github.io/MathGloss/chicago/embedding,embedding,layer2.csv,1.000,exact_letters,,layer_match
Q1340800,endomorphism,https://mathgloss.github.io/MathGloss/chicago/endomorphism,endomorphism,layer2.csv,1.000,exact_letters,,layer_match
Q1347208,epimorphism,https://mathgloss.github.io/MathGloss/chicago/epimorphism,epimorphism,layer4.csv,1.000,exact_letters,,layer_match
Q1211071,equivalence class,https://mathgloss.github.io/MathGloss/chicago/equivalence_class,equivalence class,layer2.csv,1.000,exact_letters,Q5384707 (1.000; exact_letters) equivalence class [layer3.csv],layer_match
Q256355,equivariant map,https://mathgloss.github.io/MathGloss/chicago/equivariant_map,equivariant map,layer2.csv,1.000,exact_letters,,layer_match
Q20920008,essential infimum,https://mathgloss.github.io/MathGloss/chicago/essential_infimum,essential infimum,layer2.csv,1.000,exact_letters,,layer_match
Q1969054,essential supremum,https://mathgloss.github.io/MathGloss/chicago/essential_supremum,essential supremum,layer2.csv,1.000,exact_letters,,layer_match
Q91316547,essentially bounded,https://mathgloss.github.io/MathGloss/chicago/essentially_bounded,essentially bounded function,layer5.csv,0.867,token_jaccard=0.67,,layer_match
Q32998717,exponent of a finite group,https://mathgloss.github.io/MathGloss/chicago/exponent_of_a_finite_group,exponent of a group,layer3.csv,0.920,token_jaccard=0.80,,layer_match
Q1322786,exterior,https://mathgloss.github.io/MathGloss/chicago/exterior,exterior,layer3.csv,1.000,exact_letters,,layer_match
Q121074575,faithful group action,https://mathgloss.github.io/MathGloss/chicago/faithful_group_action,faithful group action,layer3.csv,1.000,exact_letters,Q288465 (0.867; token_jaccard=0.67) group action [layer2.csv],layer_match
Q1172412,field,https://mathgloss.github.io/MathGloss/chicago/field,field,layer5.csv,1.000,exact_letters,Q190109 (1.000; exact_letters) field [layer2.csv],layer_match
Q577835,field extension,https://mathgloss.github.io/MathGloss/chicago/field_extension,field extension,layer3.csv,1.000,exact_letters,,layer_match
Q1340572,finitely generated R module,https://mathgloss.github.io/MathGloss/chicago/finitely_generated_R-module,finitely generated module,layer3.csv,0.900,token_jaccard=0.75,,layer_match
Q431078,free group,https://mathgloss.github.io/MathGloss/chicago/free_group,free group,layer2.csv,1.000,exact_letters,Q1454111 (0.867; token_jaccard=0.67) free abelian group [layer3.csv]; Q121069543 (0.867; token_jaccard=0.67) free group action [layer5.csv]; Q122364643 (0.867; token_jaccard=0.67) torsion-free group [layer4.csv],layer_match
Q121069543,free group action,https://mathgloss.github.io/MathGloss/chicago/free_group_action,free group action,layer4.csv,1.000,exact_letters,Q431078 (0.867; token_jaccard=0.67) free group [layer5.csv]; Q288465 (0.867; token_jaccard=0.67) group action [layer4.csv],layer_match
