title,link,suggestion
right exact,[right exact](https://mathgloss.github.io/MathGloss/right_exact),right exact functor
homomorphisms,[homomorphisms](https://mathgloss.github.io/MathGloss/homomorphisms),$T$-algebra homomorphism
discrete right fibration,[discrete right fibration](https://mathgloss.github.io/MathGloss/discrete_right_fibration),discrete right fibration
stabilizer,[stabilizer](https://mathgloss.github.io/MathGloss/stabilizer),stabilizer group
locally presentable categories,[locally presentable categories](https://mathgloss.github.io/MathGloss/locally_presentable_categories),locally presentable category
accessible,[accessible](https://mathgloss.github.io/MathGloss/accessible),accessible functor
essential image,[essential image](https://mathgloss.github.io/MathGloss/essential_image),essential image of an inclusion
codensity monad,[codensity monad](https://mathgloss.github.io/MathGloss/codensity_monad),codensity monad
category,[category](https://mathgloss.github.io/MathGloss/category),category
disjoint,[disjoint](https://mathgloss.github.io/MathGloss/disjoint),disjoint coproduct
closure,[closure](https://mathgloss.github.io/MathGloss/closure),closure operator
small category,[small category](https://mathgloss.github.io/MathGloss/small_category),small category
free vector space monad,[free vector space monad](https://mathgloss.github.io/MathGloss/free_vector_space_monad),free $R$-module monad
monoid,[monoid](https://mathgloss.github.io/MathGloss/monoid),monoid
nadir,[nadir](https://mathgloss.github.io/MathGloss/nadir),cone under
universal,[universal](https://mathgloss.github.io/MathGloss/universal),universal colimit cone
concrete category,[concrete category](https://mathgloss.github.io/MathGloss/concrete_category),concrete category
components,[components](https://mathgloss.github.io/MathGloss/components),natural transformation
closed,[closed](https://mathgloss.github.io/MathGloss/closed),closed subset
universal element,[universal element](https://mathgloss.github.io/MathGloss/universal_element),universal element
Zariski topology,[Zariski topology](https://mathgloss.github.io/MathGloss/Zariski_topology),Zariski topology
free arrow,[free arrow](https://mathgloss.github.io/MathGloss/free_arrow),free arrow
abelianization,[abelianization](https://mathgloss.github.io/MathGloss/abelianization),abelianization
k-ification,[k-ification](https://mathgloss.github.io/MathGloss/k-ification),k-ification
convenient category of topological spaces,[convenient category of topological spaces](https://mathgloss.github.io/MathGloss/convenient_category_of_topological_spaces),convenient category of topological spaces
free T-algebra morphism,[free T-algebra morphism](https://mathgloss.github.io/MathGloss/free_T-algebra_morphism),free T-algebra morphism
monadic,[monadic](https://mathgloss.github.io/MathGloss/monadic),monadic adjunction
extension of scalars,[extension of scalars](https://mathgloss.github.io/MathGloss/extension_of_scalars),extension of scalars
locally small,[locally small](https://mathgloss.github.io/MathGloss/locally_small),locally small category
bipointed space,[bipointed space](https://mathgloss.github.io/MathGloss/bipointed_space),bipointed space
left inverse,[left inverse](https://mathgloss.github.io/MathGloss/left_inverse),left inverse
category of models for an algebraic theory,[category of models for an algebraic theory](https://mathgloss.github.io/MathGloss/category_of_models_for_an_algebraic_theory),category of models for an algebraic theory
structures,[structures](https://mathgloss.github.io/MathGloss/structures),sigma-structure
representable isomorphism,[representable isomorphism](https://mathgloss.github.io/MathGloss/representable_isomorphism),representable isomorphism
lower adjoint,[lower adjoint](https://mathgloss.github.io/MathGloss/lower_adjoint),lower adjoint function
Stone--vC,[Stone--vC](https://mathgloss.github.io/MathGloss/Stone--vC),Stone--Čech compactification
transitive,[transitive](https://mathgloss.github.io/MathGloss/transitive),transitive left G-set
evaluation map,[evaluation map](https://mathgloss.github.io/MathGloss/evaluation_map),evaluation map
T-algebras,[T-algebras](https://mathgloss.github.io/MathGloss/T-algebras),T-algebra
triangle identities,[triangle identities](https://mathgloss.github.io/MathGloss/triangle_identities),triangle identities
